,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,Hib-PS**,Hib-FS††,3+HepB‡‡,Hep B Birth dose§§,1+Varllll,3+PCV¶¶,4+PCV***,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,4:3:1:3llllll,4:3:1:3-PS¶¶¶,4:3:1:4-FS****,4:3:1:3:3:1€,4:3:1:0:3:1?,4:3:1:3:3:1-PS€€,4:3:1:4:3:1-FS??,4:3:1:3:3:1:4€€€,4:3:1:0:3:1:4???,4:3:1:3:3:1:4-PS€€€€,4:3:1:4:3:1:4-FS????
Kentucky,93.8±3.4,83.1±5.5,93.1±3.6,89.5±4.1,85.2±5.3,88.1±5.0,62.0±6.6,93.2±3.3,83.3±4.9,92.3±3.4,90.5±3.9,77.7±6.0,45.6±6.4,57.5±6.7,80.9±5.7,74.7±6.1,77.4±5.9,58.7±6.6,72.5±6.2,78.7±5.8,75.2±6.0,56.9±6.6,64.2±6.5,68.9±6.4,66.8±6.5,51.8±6.6
Louisiana,96.3±3.0,79.9±6.3,94.0±3.6,89.7±4.5,92.4±4.3,94.5±3.7,71.9±7.0,93.9±3.6,61.6±7.8,91.1±4.3,93.7±3.8,84.3±6.0,51.4±7.7,57.9±7.9,78.1±6.5,76.2±6.7,78.1±6.5,62.4±7.6,73.8±6.8,75.7±6.7,75.7±6.7,60.0±7.7,69.0±7.3,70.9±7.2,70.9±7.2,57.8±7.7
Maine,94.6±3.7,86.6±5.6,92.4±4.1,90.9±4.5,85.3±5.4,90.6±4.6,55.4±7.7,86.6±5.4,72.0±6.5,87.2±6.0,90.7±5.1,81.6±6.3,27.2±6.6,42.1±7.7,83.4±5.9,77.0±6.5,82.0±6.1,52.2±7.7,70.4±7.3,76.8±7.0,75.4±7.1,46.2±7.7,67.0±7.5,72.7±7.3,71.6±7.3,44.0±7.6
Maryland,96.4±3.1,84.2±5.8,95.1±3.5,90.5±4.8,91.0±4.5,91.2±4.5,65.5±7.4,90.5±4.3,69.0±7.0,90.7±4.6,88.4±5.2,75.6±7.0,46.0±7.4,53.4±7.5,79.8±6.3,76.7±6.6,76.7±6.6,59.7±7.5,73.3±6.8,76.5±6.5,73.3±6.8,57.4±7.5,65.0±7.4,65.9±7.4,65.0±7.4,51.1±7.5
Massachusetts,97.7±2.9,91.0±4.3,95.6±3.4,92.3±4.3,95.7±3.3,96.2±3.3,73.7±6.4,95.8±2.5,67.3±6.5,91.5±3.9,95.9±3.3,90.4±4.2,51.1±7.3,70.9±6.4,86.7±5.2,85.8±5.2,86.3±5.2,68.5±6.8,79.9±5.9,80.9±5.9,80.4±5.9,63.5±7.0,77.2±6.1,78.1±6.1,77.7±6.1,61.6±7.0
Michigan,96.2±2.7,90.9±4.1,96.0±2.7,91.1±3.8,92.0±3.8,94.1±3.3,71.3±6.6,93.6±3.1,80.3±5.6,92.7±3.5,94.3±3.3,88.1±4.9,45.0±7.2,54.3±7.2,87.7±4.4,85.2±4.8,87.3±4.4,67.9±6.7,83.4±5.0,85.7±4.6,85.5±4.6,66.5±6.8,79.0±5.7,81.3±5.5,81.1±5.5,65.2±6.9
Minnesota,94.2±3.5,87.8±5.2,93.7±3.6,92.7±4.0,89.9±4.3,94.1±3.5,63.4±7.3,89.5±4.3,46.8±7.4,91.1±4.1,95.4±2.9,88.7±4.9,49.3±7.4,67.4±7.2,85.2±5.6,80.2±6.1,84.4±5.6,57.9±7.3,74.3±6.5,78.4±6.2,77.9±6.2,53.9±7.3,71.6±6.7,75.7±6.4,75.1±6.4,52.5±7.3
Mississippi,96.3±2.4,85.4±4.4,95.7±2.5,93.8±2.7,90.1±3.8,91.9±3.5,69.5±5.7,95.8±2.4,69.1±6.0,92.3±3.0,95.1±2.7,84.3±4.5,40.7±6.3,56.9±6.3,84.6±4.5,81.3±4.8,82.6±4.6,66.8±5.8,79.3±4.9,82.5±4.6,80.6±4.8,65.3±5.9,74.6±5.3,77.9±5.1,75.9±5.2,61.7±6.1
Missouri,92.6±3.4,80.3±5.2,89.9±3.8,90.4±3.9,87.8±4.4,90.8±3.7,64.1±6.4,89.2±4.0,64.8±6.5,86.7±4.4,87.8±4.3,76.2±5.6,44.4±6.5,59.3±6.4,78.4±5.4,75.6±5.7,76.9±5.5,61.9±6.4,70.3±5.9,73.1±5.7,71.7±5.8,58.1±6.4,65.5±6.2,67.9±6.0,66.8±6.1,55.3±6.5
Montana,88.0±5.0,76.6±6.2,84.3±5.4,85.1±5.6,80.8±5.8,84.0±5.4,60.5±7.0,87.0±4.4,67.8±6.4,80.6±5.9,84.5±5.3,72.6±6.5,35.5±6.6,54.9±6.9,73.4±6.3,67.8±6.7,69.7±6.6,55.4±7.0,64.3±6.8,69.5±6.6,66.0±6.7,53.3±7.0,60.4±6.9,64.9±6.8,62.1±6.9,50.0±7.0
Nebraska,96.8±2.3,90.1±4.1,93.7±4.0,94.2±3.3,90.0±4.5,92.9±3.8,74.1±6.6,91.6±4.2,66.7±6.9,90.6±4.4,95.4±2.9,90.4±4.2,60.3±7.1,73.2±6.6,88.0±4.8,83.4±5.5,86.1±5.1,70.6±6.8,78.9±5.9,83.4±5.3,81.6±5.5,67.2±6.9,76.6±6.1,79.9±5.8,79.3±5.8,66.3±7.0
Nevada,91.3±4.3,76.9±6.3,89.9±4.5,87.0±5.2,85.6±5.3,88.1±4.8,57.3±7.3,84.6±5.3,66.6±6.9,85.6±5.5,86.1±5.3,70.8±6.8,54.8±7.3,49.4±7.2,74.9±6.4,71.7±6.7,73.9±6.5,53.4±7.3,66.6±6.9,69.7±6.7,68.7±6.8,48.6±7.3,58.6±7.3,61.3±7.2,60.7±7.2,46.4±7.3
New Hampshire,99.5±0.7,92.0±5.1,97.8±2.0,95.8±3.0,99.5±0.8,99.5±0.8,75.1±6.7,97.2±1.8,62.8±7.8,92.8±4.5,99.2±1.0,93.2±4.0,59.7±8.2,73.1±7.3,88.1±5.8,88.1±5.8,88.1±5.8,68.3±7.4,84.1±6.1,84.1±6.1,84.1±6.1,65.4±7.5,81.0±6.5,81.0±6.5,81.0±6.5,63.3±7.5
New Jersey,94.8±4.1,80.2±5.9,91.2±4.6,86.1±5.7,92.5±4.5,93.1±4.4,70.9±6.7,90.1±4.7,37.2±6.7,89.7±5.0,91.2±4.8,82.4±6.2,40.8±6.9,53.9±7.1,73.5±6.5,71.7±6.6,72.3±6.6,59.0±7.1,66.4±6.8,68.2±6.7,67.0±6.7,54.8±7.0,61.7±7.0,62.6±7.0,62.3±7.0,51.6±7.0
New Mexico,93.5±2.9,78.3±5.5,91.1±3.5,88.8±3.8,88.6±3.9,90.3±3.6,64.5±6.3,91.2±3.3,60.0±6.3,88.9±3.7,90.1±3.7,78.2±5.5,51.1±6.6,53.9±6.6,76.0±5.6,73.0±5.8,74.5±5.7,58.8±6.5,70.9±5.9,73.8±5.7,72.4±5.8,56.8±6.5,65.4±6.2,68.3±6.1,66.9±6.2,53.1±6.6
New York,94.0±3.1,80.0±4.9,90.9±3.4,89.3±3.6,88.7±3.8,90.6±3.5,59.5±5.5,90.9±3.3,50.5±5.5,86.0±4.0,89.4±3.7,72.8±5.2,37.7±5.4,48.5±5.5,77.0±5.0,72.9±5.2,74.4±5.1,54.6±5.6,69.1±5.3,72.0±5.2,70.2±5.2,52.1±5.5,61.6±5.5,64.1±5.4,62.7±5.4,49.0±5.5
NY-City of New York,92.7±4.8,75.2±7.5,88.8±5.4,89.3±5.2,86.4±5.7,87.5±5.6,59.0±7.8,87.7±5.4,45.5±7.8,86.7±5.5,88.1±5.5,67.6±7.7,34.8±7.6,40.7±7.6,73.9±7.5,69.3±7.7,70.4±7.7,54.7±7.9,65.1±7.8,68.0±7.6,65.5±7.8,52.0±7.8,56.5±7.9,59.4±7.8,56.9±7.9,47.9±7.8
NY-Rest of State,95.3±4.0,84.7±6.2,93.0±4.3,89.4±5.1,91.0±5.0,93.6±4.3,60.0±7.9,94.0±3.9,55.3±7.7,85.3±5.7,90.7±5.0,77.7±6.9,40.6±7.7,56.0±7.8,80.1±6.6,76.5±6.9,78.2±6.8,54.5±7.9,73.0±7.1,75.9±6.9,74.8±7.0,52.3±7.8,66.5±7.6,68.7±7.5,68.2±7.5,50.0±7.8
North Carolina,96.9±2.3,87.5±4.2,96.9±2.3,94.5±2.9,87.6±4.2,92.9±3.3,59.9±6.2,93.7±3.2,75.0±5.8,94.1±3.0,96.8±2.3,87.5±4.3,48.1±6.5,69.6±6.2,86.2±4.3,80.2±4.9,84.8±4.4,57.2±6.3,77.0±5.2,82.9±4.7,81.6±4.8,55.1±6.3,71.2±5.7,77.1±5.4,75.8±5.5,52.1±6.3
North Dakota,96.8±2.4,85.3±4.8,96.1±2.8,92.6±3.5,90.6±3.7,93.0±3.3,70.4±5.9,98.3±1.5,79.5±5.6,90.5±3.8,97.2±2.3,89.4±4.2,61.1±6.5,73.4±6.1,83.3±5.1,78.7±5.5,81.1±5.3,67.6±6.2,76.0±5.6,80.7±5.3,78.4±5.5,66.0±6.2,75.2±5.7,79.8±5.4,77.6±5.6,65.8±6.2
Ohio,96.0±2.8,84.3±5.9,94.9±3.1,93.6±3.5,92.2±4.0,94.0±3.4,70.6±7.3,94.8±2.9,73.5±7.1,89.7±4.9,92.5±4.0,81.8±6.3,46.2±8.1,57.2±8.3,82.0±6.1,79.6±6.4,81.4±6.1,67.0±7.4,76.0±6.6,78.4±6.4,77.8±6.4,63.9±7.5,73.8±6.8,76.2±6.6,75.6±6.6,62.5±7.6
Oklahoma,92.3±4.9,77.6±6.1,89.8±5.2,91.0±5.0,88.8±5.2,90.2±5.1,61.7±6.7,88.0±4.6,66.4±6.0,89.9±5.0,90.7±5.0,74.5±6.4,56.6±6.8,44.4±6.6,76.2±6.1,74.5±6.2,75.2±6.2,57.9±6.5,70.3±6.3,71.8±6.2,70.8±6.3,54.4±6.5,61.6±6.5,62.9±6.5,61.8±6.5,49.2±6.5
Oregon,96.3±2.5,83.7±5.0,92.8±3.3,92.8±3.3,87.7±4.6,92.4±3.9,61.3±6.7,91.9±3.4,61.7±6.4,89.4±3.9,94.0±3.2,87.7±4.4,55.6±6.8,52.8±6.9,80.8±5.3,74.1±6.0,78.8±5.6,56.1±6.8,69.3±6.3,75.8±5.7,74.0±6.0,53.4±6.8,67.0±6.4,73.4±5.9,71.6±6.1,51.9±6.9
Pennsylvania,98.0±1.2,87.1±3.8,95.9±2.2,92.3±2.9,95.3±2.2,97.3±1.5,71.0±4.9,93.9±2.4,71.5±5.4,92.9±2.6,96.2±1.8,87.2±3.5,54.8±5.6,66.1±5.6,85.5±4.0,83.2±4.2,84.8±4.1,66.4±5.2,78.8±4.5,81.1±4.3,80.4±4.4,63.5±5.3,75.1±4.7,77.1±4.6,76.4±4.6,61.3±5.3
PA-Philadelphia County,96.3±2.4,86.0±4.6,94.0±3.5,93.5±3.2,95.2±2.7,95.4±2.6,68.0±6.7,85.8±5.0,72.9±6.2,94.6±3.0,95.8±2.8,83.5±5.2,54.6±7.3,66.5±6.9,82.8±5.2,81.5±5.3,81.7±5.3,63.7±6.9,74.3±6.1,75.7±6.1,74.5±6.1,59.0±7.1,69.9±6.5,71.2±6.4,70.1±6.4,56.2±7.2
PA-Rest of State,98.3±1.3,87.3±4.5,96.2±2.5,92.1±3.4,95.3±2.6,97.7±1.8,71.6±5.7,95.4±2.6,71.2±6.3,92.6±3.1,96.3±2.1,87.9±4.0,54.8±6.5,66.0±6.6,86.0±4.6,83.5±4.9,85.4±4.7,66.9±6.0,79.6±5.2,82.1±5.0,81.5±5.1,64.3±6.1,76.1±5.5,78.2±5.3,77.6±5.4,62.3±6.2
Rhode Island,98.5±1.4,85.8±5.7,98.5±1.4,95.8±2.7,86.7±5.6,90.5±5.0,67.2±7.7,97.6±1.7,69.7±7.5,93.2±4.2,96.2±3.3,82.3±6.9,54.2±8.1,76.7±7.3,85.0±5.7,76.6±6.9,78.0±6.8,62.3±7.9,75.3±6.9,83.7±5.8,76.7±6.9,61.0±7.9,68.9±7.6,74.1±7.4,70.3±7.5,56.6±8.0
South Carolina,96.8±2.0,86.6±4.3,95.3±2.7,91.7±3.3,91.4±3.6,93.0±3.3,62.6±6.3,94.4±2.7,67.4±6.3,93.7±3.0,94.1±2.9,88.1±4.1,47.4±6.6,62.9±6.5,83.2±4.7,79.3±5.2,80.4±5.1,58.2±6.5,77.7±5.3,81.3±4.9,78.8±5.3,56.8±6.5,73.6±5.7,76.9±5.4,74.7±5.7,53.2±6.6
South Dakota,95.2±3.1,80.1±5.6,94.7±3.2,92.1±3.6,89.2±4.4,90.1±4.3,58.8±6.8,95.9±2.4,62.4±6.8,91.0±3.8,90.9±4.2,76.4±6.1,33.1±6.6,46.8±6.9,77.9±5.9,75.2±6.0,75.5±6.0,54.6±6.9,73.2±6.1,75.7±6.0,73.5±6.1,52.6±6.8,65.4±6.7,67.0±6.7,65.7±6.7,48.7±6.9
Tennessee,95.9±3.2,89.3±4.2,95.4±3.2,93.9±3.3,92.7±3.8,93.7±3.6,71.2±6.2,93.6±3.5,55.3±6.8,95.3±2.8,93.2±3.8,84.3±5.2,59.9±6.7,65.9±6.7,88.3±4.3,85.9±4.6,86.9±4.5,69.3±6.2,82.3±5.1,84.7±4.9,83.4±5.0,66.7±6.4,76.2±5.8,77.8±5.7,77.2±5.7,61.8±6.6
Texas,93.3±2.0,83.9±3.3,91.9±2.1,91.8±2.4,90.6±2.6,91.0±2.6,69.2±4.2,88.4±2.7,69.6±4.2,90.2±2.5,91.4±2.6,83.0±3.3,54.9±4.4,61.9±4.4,81.7±3.5,79.6±3.7,79.9±3.7,65.6±4.4,74.8±3.9,76.5±3.7,74.9±3.9,61.2±4.4,70.1±4.1,70.9±4.1,70.3±4.1,58.6±4.4
TX-Bexar County,95.0±3.3,83.2±5.4,93.4±3.6,94.6±2.8,93.7±3.4,93.7±3.4,62.6±7.1,95.7±2.9,63.2±6.8,92.4±3.8,95.0±3.0,79.5±6.0,53.5±7.0,62.0±7.1,83.0±5.4,81.6±5.6,81.6±5.6,61.7±7.1,78.4±6.0,79.9±5.9,78.4±6.0,60.1±7.2,73.0±6.5,73.7±6.5,73.0±6.5,57.3±7.2
TX-City of Houston,93.5±4.2,86.9±4.9,90.2±4.8,93.8±3.8,87.8±4.7,89.0±4.6,65.8±6.8,86.4±5.1,63.6±6.8,92.6±4.1,94.3±3.3,83.6±5.4,60.0±6.7,64.4±6.1,83.8±5.3,79.0±5.8,80.0±5.8,62.3±6.9,74.5±6.1,78.5±5.7,75.3±6.1,58.2±7.0,69.7±6.4,73.2±6.1,70.6±6.4,55.7±7.0
TX-Dallas County,87.1±5.1,78.9±6.1,86.7±5.1,91.1±4.0,85.9±5.2,86.3±5.1,67.8±6.8,86.2±4.9,66.9±6.6,87.8±5.0,84.9±5.5,78.2±6.1,51.2±7.2,59.2±7.2,77.0±6.3,76.3±6.3,76.7±6.3,63.3±7.0,72.6±6.6,73.3±6.6,73.1±6.6,60.6±7.1,68.9±6.8,69.3±6.8,69.3±6.8,57.8±7.1
TX-El Paso County,90.3±4.9,80.5±6.2,88.1±5.2,87.0±5.4,88.6±5.2,89.3±5.1,59.3±7.5,89.3±4.9,78.7±6.3,85.9±5.8,90.0±4.9,77.4±6.6,61.2±7.4,66.3±7.5,78.6±6.3,77.8±6.4,77.8±6.4,58.1±7.6,72.6±6.8,73.3±6.8,72.6±6.8,53.4±7.6,67.0±7.2,67.0±7.2,67.0±7.2,50.1±7.6
TX-Rest of State,94.3±2.7,84.4±4.7,93.1±2.9,91.6±3.4,91.7±3.7,91.9±3.6,71.3±6.1,88.4±3.8,71.3±5.9,90.1±3.6,91.6±3.7,84.3±4.7,54.3±6.3,61.7±6.3,82.1±5.0,80.1±5.3,80.3±5.3,67.3±6.3,74.9±5.6,76.4±5.3,74.9±5.6,62.3±6.3,70.2±5.9,70.6±5.8,70.2±5.9,59.9±6.3
Utah,93.4±3.2,79.5±5.7,90.1±4.6,85.5±5.1,86.3±5.3,91.7±3.8,59.9±6.9,91.1±3.6,79.8±5.6,87.7±4.3,92.0±3.7,78.7±5.9,49.6±7.0,65.6±6.7,76.2±6.0,73.5±6.2,75.9±6.0,55.2±6.9,70.6±6.4,73.3±6.2,73.0±6.2,53.2±6.9,66.7±6.6,69.5±6.4,69.2±6.5,49.9±7.0
Vermont,96.0±3.0,86.0±4.8,94.4±3.3,92.7±3.3,90.4±5.0,90.4±5.0,52.1±7.1,91.7±3.7,21.4±5.9,82.9±5.0,92.7±3.5,84.2±5.6,38.0±6.8,51.8±7.1,82.4±5.1,79.4±6.0,79.4±6.0,46.2±7.0,71.0±6.5,72.8±6.3,71.0±6.5,41.4±6.9,69.0±6.6,69.7±6.6,69.0±6.6,40.6±6.9
Virginia,96.4±2.6,88.3±4.5,93.5±3.3,92.3±3.5,91.8±3.7,93.3±3.5,68.1±6.3,87.0±4.9,58.3±6.7,91.5±3.3,93.6±3.3,84.9±4.8,50.0±6.8,66.9±6.2,85.0±4.9,81.4±5.3,82.6±5.2,64.0±6.4,74.2±6.0,77.5±5.8,75.4±6.0,58.2±6.6,69.5±6.2,72.8±6.0,70.7±6.2,55.2±6.6
