,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,3+DTP†,4+DTP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+Var††,3+PCV‡‡,4:3:1§§,4:3:1:3llll,4:3:1:3:3¶¶,4:3:1:3:3:1***
   IN-Marion County,95.6±4.0,83.8±6.3,90.6±5.2,91.3±4.8,93.8±4.5,90.6±4.6,85.1±5.5,81.5±6.3,81.8±6.4,81.8±6.4,78.3±6.7,73.8±6.9
   IN-Rest of State,95.5±3.0,82.8±5.8,93.6±3.4,91.6±4.6,93.9±3.3,93.6±3.4,79.3±6.4,76.9±6.8,81.2±6.0,81.2±6.0,79.2±6.2,67.0±7.6
Iowa,96.1±3.1,88.6±5.8,93.7±3.6,92.9±5.4,93.9±3.9,94.9±3.7,85.9±5.4,67.7±7.5,88.0±5.9,86.1±6.2,86.1±6.2,76.1±7.1
Kansas,95.5±4.3,82.6±6.5,90.5±5.3,92.3±4.3,93.0±4.8,92.1±4.9,77.8±6.6,65.4±7.5,80.6±6.7,79.5±6.7,77.5±6.8,65.8±7.6
Kentucky,98.9±1.3,86.4±5.6,93.5±3.6,91.0±5.6,97.5±2.1,95.4±3.1,89.6±5.8,76.1±6.8,80.4±6.9,80.4±6.9,79.1±7.0,77.1±7.1
Louisiana,94.3±2.8,77.9±5.6,89.4±3.6,88.7±3.9,92.8±3.0,89.0±3.7,82.2±5.2,71.9±5.6,76.9±5.6,76.3±5.6,74.9±5.6,70.1±6.2
   LA-Orleans Parish,92.1±4.4,79.6±6.2,85.5±5.5,90.2±4.8,88.2±5.1,85.7±5.7,83.7±5.9,75.9±7.5,77.1±6.4,75.9±6.5,71.5±7.0,68.0±7.3
   LA-Rest of State,94.6±3.1,77.7±6.2,89.8±4.0,88.6±4.4,93.4±3.3,89.4±4.1,82.0±5.8,71.4±6.2,76.9±6.2,76.4±6.2,75.3±6.3,70.4±6.9
Maine,97.7±1.7,88.8±4.2,93.2±3.3,91.7±3.8,93.9±3.5,91.8±3.6,83.8±5.2,84.6±4.8,86.2±4.7,85.0±4.9,82.1±5.3,73.8±6.1
Maryland,97.3±2.0,86.5±4.8,90.5±4.4,94.8±3.3,95.7±2.5,93.9±3.4,90.2±4.1,76.6±5.7,81.3±5.5,81.3±5.5,80.0±5.5,76.0±5.8
   MD-City of Baltimore,95.0±3.5,88.2±4.5,92.4±4.6,93.9±3.6,94.8±3.4,94.5±3.1,91.0±6.1,75.1±7.4,85.3±5.4,85.3±5.4,82.8±5.7,80.0±7.2
   MD-Rest of State,97.6±2.3,86.3±5.4,90.2±5.0,95.0±3.7,95.8±2.9,93.8±3.8,90.1±4.6,76.9±6.5,80.8±6.2,80.8±6.2,79.6±6.3,75.4±6.6
Massachusetts,97.7±2.0,93.2±3.1,94.5±2.8,96.0±2.4,97.0±2.1,94.8±2.8,90.6±3.8,89.7±3.8,91.5±3.4,90.9±3.4,89.1±3.7,84.0±4.5
   MA-City of Boston,96.6±3.0,89.9±4.9,94.8±3.3,92.4±4.2,95.2±3.3,92.7±3.7,91.4±4.2,91.8±4.0,86.9±5.4,85.8±5.5,82.4±5.8,78.8±6.0
   MA-Rest of State,97.8±2.2,93.6±3.4,94.4±3.1,96.4±2.7,97.2±2.3,95.0±3.1,90.5±4.2,89.5±4.2,92.1±3.7,91.5±3.8,89.9±4.1,84.6±5.0
Michigan,94.7±3.3,86.1±4.3,89.4±4.5,91.8±3.7,91.3±4.0,93.1±3.6,88.0±4.3,63.4±6.1,83.1±4.9,81.3±5.2,81.2±5.2,79.2±5.3
   MI-City of Detroit,90.9±4.2,70.2±6.7,84.9±5.5,90.7±4.2,87.7±4.8,92.6±4.1,86.4±5.1,50.7±7.1,68.6±6.8,68.1±6.8,67.9±6.8,65.6±6.8
   MI-Rest of State,95.1±3.7,88.0±4.7,90.0±5.0,91.9±4.1,91.8±4.5,93.2±4.1,88.2±4.8,65.0±6.8,84.9±5.5,83.0±5.8,82.8±5.8,80.8±5.9
Minnesota,97.7±2.7,88.7±5.9,92.6±5.0,91.7±4.7,92.8±5.0,91.7±5.6,83.3±6.3,77.3±6.5,86.5±6.1,85.7±6.1,85.2±6.2,77.7±6.7
Mississippi,96.4±3.4,87.3±5.4,92.8±4.5,94.4±3.8,93.1±4.1,91.2±5.1,90.6±4.4,61.4±7.3,86.4±5.6,85.8±5.6,84.0±6.0,80.4±6.3
Missouri,97.0±2.8,87.1±5.6,92.1±4.3,93.8±3.4,94.6±3.5,90.6±4.1,85.1±5.0,76.2±6.7,86.0±5.7,86.0±5.7,81.6±6.1,75.2±6.6
Montana,96.2±2.6,83.6±5.2,89.2±4.3,91.2±3.9,93.3±3.3,89.3±4.6,74.9±5.8,69.6±6.3,82.6±5.3,81.6±5.4,78.2±6.0,64.5±6.7
Nebraska,97.0±2.3,84.4±5.2,93.4±3.2,92.7±3.5,95.3±2.8,93.7±3.3,82.2±5.0,75.5±5.9,83.0±5.3,83.0±5.3,82.3±5.4,72.6±6.0
Nevada,91.0±3.8,72.8±6.1,88.4±4.1,87.4±4.1,88.7±4.1,86.5±4.4,80.7±4.9,49.6±6.4,71.3±6.1,70.6±6.2,68.4±6.2,65.1±6.3
New Hampshire,96.7±3.3,91.4±4.3,94.3±3.7,93.5±4.1,96.0±3.5,94.1±3.8,85.6±5.3,82.0±5.8,89.5±4.7,89.0±4.8,86.3±5.1,78.4±6.0
New Jersey,97.6±2.2,86.2±5.0,91.3±3.6,94.6±3.1,95.7±2.4,95.0±2.9,86.8±4.8,78.9±6.1,84.1±5.3,83.3±5.3,82.7±5.4,74.4±6.3
   NJ-City of Newark,97.2±2.2,77.8±6.0,90.9±4.6,93.5±3.9,93.5±4.0,93.5±4.1,79.8±5.6,70.9±6.7,77.4±6.1,74.5±6.4,72.2±6.6,64.1±7.1
   NJ-Rest of State,97.6±2.3,86.6±5.2,91.3±3.7,94.6±3.2,95.8±2.5,95.1±3.0,87.1±5.0,79.3±6.4,84.4±5.5,83.7±5.5,83.2±5.6,74.9±6.5
New Mexico,96.8±2.7,87.2±4.7,92.0±3.9,89.9±4.5,94.2±3.6,95.9±2.5,87.5±4.7,71.6±6.1,84.8±5.2,84.8±5.2,83.5±5.3,79.0±5.8
New York,97.7±1.5,86.5±4.2,92.5±2.9,95.5±2.1,92.7±3.2,95.4±2.2,89.1±3.6,83.4±3.9,84.6±4.3,82.8±4.6,82.2±4.6,78.0±4.9
   NY-City of New York,96.1±2.9,83.2±5.8,90.4±4.2,93.2±3.9,90.9±4.4,94.1±3.7,90.2±4.5,79.0±5.9,81.2±6.0,79.6±6.1,79.4±6.1,77.2±6.3
   NY-Rest of State,99.1±1.3,89.5±6.2,94.4±4.1,97.6±2.0,94.4±4.7,96.6±2.4,88.2±5.6,87.4±5.2,87.7±6.3,85.6±6.9,84.7±6.9,78.7±7.4
North Carolina,97.9±2.4,84.7±5.9,92.5±4.2,95.6±3.5,97.6±2.5,94.3±4.1,89.9±4.6,85.7±4.7,82.5±6.0,82.3±6.0,81.6±6.0,77.8±6.4
North Dakota,96.1±2.3,85.7±4.6,91.5±3.5,92.6±3.3,95.5±2.4,93.8±3.1,79.6±5.2,69.3±6.1,84.7±4.7,84.0±4.7,82.0±5.0,71.0±5.8
Ohio,96.6±2.3,85.8±4.8,90.6±4.1,93.1±3.1,94.7±2.7,91.7±3.9,84.2±4.2,69.2±5.7,83.1±5.1,82.2±5.1,79.5±5.4,70.6±5.7
   OH-Cuyahoga County,98.3±1.6,89.1±4.5,90.7±4.3,96.2±2.5,97.6±1.8,94.5±3.4,90.7±4.6,79.7±6.0,86.5±5.0,86.0±5.0,83.2±5.6,78.4±6.3
   OH-Franklin County,99.5±0.8,89.2±4.6,94.1±3.7,94.9±3.4,95.7±2.9,95.9±2.7,87.3±4.7,74.3±6.7,87.4±4.8,86.7±4.9,86.4±4.9,79.0±5.8
   OH-Rest of State,96.0±2.9,84.8±6.2,90.1±5.2,92.3±4.0,94.1±3.5,90.6±5.1,82.8±5.4,66.8±7.3,81.9±6.5,80.9±6.6,78.0±6.9,68.1±7.3
Oklahoma,90.2±4.7,75.2±6.4,87.6±4.9,90.6±4.4,86.0±5.4,92.1±3.7,89.6±4.6,44.1±6.9,74.8±6.4,72.6±6.6,72.1±6.6,71.4±6.6
Oregon,97.0±2.2,84.8±4.7,91.0±3.8,93.7±3.1,92.6±3.6,91.7±3.6,84.8±5.0,74.6±5.9,81.8±5.1,81.1±5.1,78.9±5.3,73.8±6.0
Pennsylvania,97.7±1.7,89.5±3.5,94.5±2.5,95.0±2.6,97.4±1.7,95.7±2.4,91.9±3.4,83.1±4.6,87.3±3.8,87.1±3.8,85.7±4.0,81.8±4.5
   PA-Philadelphia County,97.7±1.7,81.7±5.8,91.8±4.0,94.0±3.6,96.4±2.2,94.2±2.9,89.3±4.6,86.2±4.4,80.5±5.8,80.0±5.8,78.0±5.9,75.0±6.1
   PA-Rest of State,97.7±2.0,90.9±4.0,95.0±2.8,95.2±3.0,97.6±2.0,96.0±2.8,92.3±4.0,82.5±5.3,88.5±4.3,88.4±4.3,87.1±4.5,83.0±5.2
Rhode Island,97.4±2.1,94.7±2.7,95.4±2.6,95.6±2.8,94.2±3.0,94.9±2.8,91.7±3.6,90.6±3.8,90.9±3.7,88.2±4.2,86.7±4.4,81.5±5.1
South Carolina,97.3±2.6,83.7±6.3,91.7±4.8,92.0±4.5,95.6±3.0,93.9±4.6,90.2±4.7,76.4±7.1,82.8±6.4,82.2±6.4,79.8±7.0,77.2±7.3
South Dakota,96.8±3.0,90.3±4.7,92.5±4.1,93.7±4.1,94.9±3.5,95.2±2.8,79.4±5.9,46.4±7.6,89.2±4.8,88.0±5.0,86.1±5.2,73.3±6.5
Tennessee,96.0±2.4,86.8±3.5,91.7±3.0,91.3±3.1,92.8±2.7,92.9±2.9,89.0±3.5,74.9±4.7,84.3±3.7,83.2±3.7,82.4±3.9,79.1±4.2
   TN-Davidson County,98.3±1.4,90.9±4.0,96.2±2.2,95.2±2.9,96.4±2.2,94.9±2.8,94.0±3.2,83.4±5.6,90.4±4.1,90.0±4.1,89.7±4.1,88.3±4.4
   TN-Shelby County,94.9±3.2,81.2±6.0,90.5±4.6,89.1±4.6,84.0±5.6,87.0±5.1,88.4±4.8,70.7±6.8,78.8±6.2,73.8±6.7,73.0±6.7,71.4±6.8
   TN-Rest of State,95.9±3.4,87.6±4.7,91.3±4.1,91.2±4.1,94.5±3.6,94.1±3.8,88.4±4.8,74.7±6.4,84.7±4.9,84.5±5.0,83.7±5.1,79.6±5.7
Texas,91.6±2.4,78.2±3.8,87.0±2.9,89.2±2.7,89.4±2.6,88.3±2.9,84.8±3.2,62.8±4.4,75.4±4.0,74.4±4.0,72.5±4.2,69.3±4.3
   TX-Bexar County,90.3±5.4,77.6±6.6,84.4±6.1,89.9±4.8,89.3±5.5,91.0±4.3,88.7±4.9,71.8±6.7,75.0±6.8,75.0±6.8,74.3±6.8,73.3±6.8
   TX-City of Houston,86.5±5.2,69.8±6.6,83.5±5.5,86.0±4.9,86.9±4.5,80.6±5.8,79.4±5.8,55.8±6.8,69.2±6.6,68.4±6.6,65.5±6.7,61.7±6.9
   TX-Dallas County,90.6±3.9,74.6±6.2,87.2±4.6,89.5±4.4,88.4±4.2,85.6±4.6,86.4±4.8,55.4±6.8,73.1±6.3,71.9±6.3,68.7±6.5,67.1±6.5
   TX-El Paso County,91.9±4.0,74.6±6.1,86.9±4.8,90.1±4.4,89.3±4.4,84.5±5.0,88.8±4.5,68.3±6.3,71.8±6.2,70.6±6.3,64.8±6.5,63.5±6.5
   TX-Rest of State,92.8±3.3,80.7±5.5,87.9±4.2,89.6±4.0,90.0±3.8,90.2±4.2,84.9±4.6,64.1±6.5,77.1±5.8,76.0±5.8,74.7±6.0,71.0±6.2
Utah,90.3±4.0,77.6±5.6,87.2±4.4,89.8±3.8,89.9±4.0,83.7±4.8,84.7±4.6,69.6±6.2,75.4±5.7,75.2±5.7,71.3±5.9,67.8±6.1
Vermont,97.0±2.3,91.5±3.8,94.7±2.9,94.4±3.2,94.9±3.1,91.1±3.7,72.8±6.2,81.1±5.4,89.6±4.1,88.8±4.2,85.0±4.7,66.6±6.6
Virginia,98.3±1.5,88.2±4.8,90.1±4.5,96.6±2.4,94.4±3.2,93.2±3.8,88.4±5.0,86.6±4.8,85.6±5.3,83.4±5.6,81.0±5.9,73.9±6.8
Washington,96.4±1.9,85.0±4.1,91.0±3.0,92.3±2.8,94.9±2.2,88.7±3.3,77.6±4.4,81.0±4.2,82.4±4.3,81.2±4.3,77.7±4.6,66.5±5.0
   WA-King County,96.3±2.8,89.0±4.7,92.4±3.7,94.8±3.0,95.5±2.9,90.8±3.8,84.5±4.8,87.5±4.9,85.7±5.0,84.5±5.2,81.0±5.5,73.7±6.1
   WA-Rest of State,96.4±2.4,83.4±5.3,90.4±3.9,91.4±3.7,94.7±2.9,88.0±4.3,75.0±5.8,78.5±5.4,81.1±5.6,80.0±5.6,76.4±5.9,63.7±6.5
West Virginia,97.3±2.3,88.1±5.4,94.0±3.5,94.6±4.4,97.5±2.2,93.4±4.6,81.7±6.2,71.1±6.7,87.7±5.4,87.7±5.4,86.6±5.5,76.0±6.6
Wisconsin,97.5±1.5,88.2±4.0,95.1±2.1,93.6±2.9,94.7±2.2,91.8±3.3,88.6±3.3,79.5±5.0,86.3±4.2,85.1±4.3,82.9±4.6,78.0±4.9
   WI-Milwaukee County,97.8±1.9,83.6±5.7,92.1±3.7,94.3±3.2,94.2±3.7,91.5±4.3,86.4±5.2,81.8±5.8,80.4±5.9,80.2±6.0,78.7±6.1,73.1±6.5
   WI-Rest of State,97.4±1.9,89.4±4.9,95.9±2.5,93.4±3.6,94.9±2.6,91.8±4.0,89.2±4.0,78.9±6.1,87.9±5.1,86.5±5.2,84.1±5.6,79.4±6.0
Wyoming,94.8±2.8,86.2±4.3,92.8±3.2,92.7±3.3,94.7±2.8,93.8±3.0,70.4±6.4,82.8±5.0,84.9±4.5,84.1±4.6,83.3±4.7,64.1±6.6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
