Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,Hib-PS¶,Hib-FS**,3+HepB††,HepB Birth dose‡‡,1+Var§§,3+PCV||||,4+PCV¶¶,1+ HepA***,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,(4:3:1:3*)||||||,4:3:1:3*:3¶¶¶,4:3:1:3*:3:1****,4:3:1:3*:3:1:4††††
Florida,97.6±2.4,83.3±6.5,95.6±3.6,91.0±4.8,93.6±4.1,81.3±6.6,94.4±3.6,62.6±7.6,93.9±3.9,92.4±4.5,80.8±6.5,76.1±7.1,51.9±8.1,66.0±7.9,81.0±6.8,75.3±7.2,74.4±7.3,74.4±7.3,68.6±7.5
Georgia,95.2±3.4,86.7±5.2,94.9±3.4,91.9±4.2,94.2±3.6,84.2±5.7,96.3±3.0,87.6±5.1,92.7±4.0,93.8±3.5,85.4±5.6,91.8±4.4,65.9±7.6,71.8±7.2,85.2±5.4,80.2±6.1,78.6±6.4,77.9±6.5,74.7±6.8
Hawaii,97.5±1.6,87.9±4.6,96.0±2.3,95.0±2.7,96.6±2.2,87.9±4.4,95.2±2.3,82.7±5.2,94.9±2.7,96.0±2.2,89.7±4.1,85.2±4.9,58.1±7.1,70.6±6.5,86.5±4.8,83.6±5.2,82.6±5.3,82.4±5.3,80.2±5.5
Idaho,92.9±3.9,76.6±6.7,92.6±3.9,93.3±3.6,92.7±3.9,77.3±7.6,87.7±5.0,70.1±7.8,90.3±4.3,91.7±4.2,83.9±6.0,89.8±4.8,52.8±8.6,68.2±7.2,75.8±6.7,70.4±7.9,67.1±8.1,64.5±8.1,63.0±8.2
Illinois,94.5±2.2,85.3±3.6,93.2±2.5,91.6±2.7,93.3±2.6,81.1±4.2,89.9±3.0,71.3±5.0,90.6±2.9,92.3±2.6,81.9±4.0,79.0±4.2,48.2±5.4,67.2±5.2,83.4±3.8,77.3±4.5,74.6±4.6,74.0±4.6,68.5±4.9
IL-City of Chicago,90.5±5.3,79.4±7.6,89.3±5.4,86.8±6.1,90.5±5.3,76.9±7.8,83.0±6.9,70.3±8.4,82.8±7.2,86.5±6.3,77.4±7.7,83.5±6.2,45.2±8.7,69.5±8.7,76.4±7.9,71.6±8.3,67.4±8.5,66.0±8.6,60.4±8.8
IL-Rest of State,96.0±2.3,87.4±4.1,94.5±2.7,93.2±2.9,94.3±3.0,82.6±5.0,92.3±3.2,71.7±6.0,93.4±2.8,94.3±2.7,83.5±4.7,77.5±5.3,49.3±6.6,66.4±6.3,85.9±4.2,79.3±5.2,77.1±5.4,76.8±5.4,71.4±5.8
Indiana,92.1±4.2,76.8±6.5,90.8±4.4,90.0±4.5,90.7±4.5,74.6±6.8,88.3±4.7,78.2±6.0,87.2±5.2,90.1±4.8,73.2±6.8,74.0±6.9,48.0±7.5,63.9±7.4,75.3±6.6,69.0±7.1,66.4±7.2,65.3±7.2,61.4±7.4
Iowa,97.3±1.9,88.2±4.4,96.3±2.3,93.3±3.4,96.4±2.2,83.8±5.2,93.7±3.4,68.3±7.5,94.4±3.0,95.4±2.5,86.4±5.0,80.9±5.8,59.3±7.2,70.2±7.5,85.3±4.9,80.1±5.6,78.8±5.9,77.7±6.0,74.8±6.3
Kansas,88.1±5.2,79.0±6.0,85.4±5.5,88.5±4.6,88.3±5.0,75.5±6.3,84.3±5.5,78.3±5.4,86.0±5.0,86.0±5.4,77.5±6.1,83.2±5.4,58.5±6.9,59.9±7.0,76.4±6.2,71.5±6.5,68.0±6.7,66.4±6.7,65.0±6.7
Kentucky,93.4±3.6,83.0±5.4,92.2±3.8,89.2±4.4,91.9±3.8,79.2±5.7,90.4±4.0,80.8±5.6,89.1±4.4,92.4±3.8,80.4±5.8,68.8±6.5,48.4±7.0,69.0±6.4,81.9±5.5,74.5±6.1,72.9±6.2,71.3±6.3,68.2±6.6
Louisiana,94.3±3.9,77.8±6.6,94.1±3.9,90.5±4.0,92.7±4.4,82.2±5.7,93.1±4.4,76.6±6.8,90.8±4.3,92.2±4.3,79.1±6.3,82.1±5.8,46.9±7.3,65.0±7.4,76.4±6.7,73.0±6.9,72.9±6.9,72.7±6.9,68.5±7.1
Maine,95.7±3.0,87.9±5.1,94.7±3.1,91.2±4.2,95.0±3.1,84.2±5.6,87.6±4.7,74.2±5.8,90.8±3.7,95.6±2.4,87.3±5.0,70.4±6.7,52.5±7.4,64.7±7.0,84.0±5.6,79.4±6.2,75.1±6.5,74.9±6.5,72.6±6.6
Maryland,92.5±4.9,83.2±6.2,91.5±5.1,92.5±4.8,90.9±5.1,81.8±6.2,88.8±5.4,73.3±6.6,90.1±5.3,90.9±5.1,82.3±6.2,86.5±5.5,53.1±7.3,71.2±6.9,82.8±6.2,78.2±6.5,75.0±6.7,73.0±6.8,67.1±7.1
Massachusetts,97.3±2.4,88.2±4.5,95.3±2.9,93.7±3.4,95.9±3.2,86.2±4.9,88.1±4.8,74.0±6.2,89.5±4.4,94.9±3.4,88.8±4.7,80.3±5.7,57.5±6.9,82.4±5.6,86.7±4.7,83.0±5.2,78.9±5.8,76.9±5.9,73.5±6.2
Michigan,95.2±3.2,81.5±6.7,93.8±3.9,91.4±4.4,94.5±3.3,81.3±6.3,90.4±4.3,78.9±6.1,91.4±4.2,91.9±4.4,81.6±6.1,77.7±6.6,40.9±7.4,64.3±7.4,79.6±6.8,75.9±7.0,72.9±7.2,72.2±7.2,70.5±7.3
Minnesota,97.2±2.2,84.2±5.6,95.3±2.9,90.1±5.6,95.1±3.3,81.1±5.9,89.2±4.4,62.8±7.4,89.1±4.6,95.0±3.2,86.8±5.2,77.6±6.4,55.4±7.7,76.6±6.4,80.4±6.6,73.6±7.1,69.7±7.4,67.2±7.5,66.2±7.6
Mississippi,95.9±3.6,83.6±6.4,94.6±4.3,93.4±4.3,95.2±3.8,82.0±6.6,93.2±4.5,81.6±6.5,93.7±3.8,94.9±3.8,87.2±5.5,65.0±8.0,39.7±8.2,63.8±8.0,83.5±6.4,79.6±6.9,79.3±6.9,78.7±6.9,77.5±7.0
Missouri,94.7±4.0,81.9±7.0,93.0±4.5,92.7±4.1,93.4±4.3,79.4±7.2,92.0±4.3,78.7±6.2,90.3±5.0,89.4±5.5,76.5±7.5,79.5±6.8,56.3±7.9,69.3±7.8,80.5±7.1,75.4±7.5,72.1±7.6,68.7±7.8,63.9±8.0
Montana,94.6±3.1,86.6±4.4,92.5±3.9,91.5±4.0,94.0±3.2,86.2±4.9,86.6±5.6,64.5±6.8,85.3±5.2,90.6±5.1,83.4±5.9,77.5±6.5,50.5±7.3,61.3±7.4,84.0±5.0,80.1±5.6,74.6±6.6,70.9±6.9,66.5±7.1
Nebraska,96.6±2.1,84.5±5.2,95.4±2.6,89.0±4.4,96.7±2.1,83.4±5.5,89.0±4.6,79.4±5.8,90.4±4.1,96.1±2.3,86.5±5.1,81.5±5.6,60.6±7.0,74.2±6.2,82.8±5.5,79.6±5.9,75.2±6.3,74.0±6.4,72.6±6.5
Nevada,94.0±2.9,81.0±5.5,92.1±3.2,89.8±4.1,93.5±2.9,77.4±5.6,87.9±4.3,70.5±6.3,89.7±3.9,91.8±3.3,78.5±5.8,86.1±4.6,52.2±7.0,62.7±6.7,78.4±5.7,71.2±6.3,68.4±6.4,67.5±6.4,65.3±6.6
New Hampshire,98.0±1.8,88.7±4.7,96.2±2.6,93.7±3.4,95.2±3.2,89.7±4.5,90.3±4.2,72.2±6.6,93.3±3.2,94.5±3.3,88.9±4.5,79.5±5.9,57.0±7.0,83.0±5.8,88.1±4.8,86.1±5.2,81.9±5.6,80.9±5.7,80.1±5.7
New Jersey,94.7±3.1,84.7±5.1,91.4±3.7,94.8±2.7,95.0±3.0,83.9±5.2,87.9±4.6,52.6±6.9,93.5±3.2,92.9±3.3,82.8±5.3,81.0±5.2,45.9±6.9,68.0±6.6,82.8±5.3,77.9±5.9,74.8±6.2,74.8±6.2,71.5±6.4
New Mexico,94.8±3.0,87.0±4.9,94.5±3.0,88.8±4.4,94.9±3.0,87.5±4.4,89.5±4.5,68.9±7.0,87.6±4.7,94.5±3.0,85.4±4.8,85.9±5.2,51.9±7.6,78.4±5.8,83.7±5.3,81.4±5.5,77.8±6.1,76.1±6.2,71.6±6.6
New York,94.8±2.3,83.8±3.5,93.5±2.4,90.2±2.9,93.8±2.4,82.3±3.8,88.4±3.0,61.5±4.7,89.0±3.0,92.0±2.7,79.2±3.9,72.6±4.1,45.9±4.7,65.5±4.5,80.8±3.8,76.3±4.1,72.9±4.3,70.3±4.4,63.7±4.6
NY-City of New York,92.0±4.0,82.9±5.3,91.4±4.1,90.3±3.9,90.7±4.3,80.2±5.7,87.6±4.3,60.5±6.4,89.3±3.8,87.4±4.7,73.3±6.0,73.0±5.8,44.4±6.6,56.8±6.8,81.6±5.4,76.8±5.8,73.5±6.0,71.5±6.0,62.8±6.5
NY-Rest of State,97.5±2.0,84.6±4.7,95.6±2.5,90.0±4.2,96.9±2.1,84.4±5.1,89.2±4.1,62.4±6.8,88.6±4.6,96.5±2.3,85.0±4.9,72.3±5.8,47.5±6.7,74.1±5.9,80.0±5.5,75.8±5.9,72.2±6.1,69.2±6.3,64.6±6.5
North Carolina,93.3±3.8,85.9±5.4,92.8±3.8,89.0±4.9,92.0±4.2,83.0±6.0,89.2±4.7,78.2±5.9,88.0±4.9,92.2±3.8,82.0±6.0,79.5±6.0,48.5±7.3,68.0±7.1,83.1±5.7,79.1±6.3,77.6±6.4,76.2±6.5,75.4±6.5
North Dakota,93.3±5.1,85.1±6.2,93.3±5.1,90.6±5.4,91.5±5.5,82.1±6.7,91.5±5.2,82.3±5.6,89.0±5.4,91.3±5.4,85.1±6.3,87.5±6.0,59.8±7.5,75.4±7.1,83.3±6.4,79.0±7.0,77.0±7.0,74.5±7.1,72.2±7.2
Ohio,94.0±3.8,83.3±6.0,92.5±4.5,90.3±4.9,91.2±4.9,79.2±6.5,89.4±4.9,77.8±6.2,90.8±4.8,90.9±4.9,80.5±6.3,77.6±6.3,53.8±7.0,67.4±7.5,82.2±6.1,77.6±6.5,74.7±6.6,72.1±6.7,66.8±6.9
Oklahoma,95.7±2.5,79.1±6.0,95.3±2.7,90.0±4.8,94.7±2.7,71.1±7.5,93.4±3.2,67.4±7.4,89.4±4.9,94.3±2.7,76.4±6.7,88.0±4.9,56.1±7.4,56.4±7.7,77.3±6.2,67.3±7.7,65.0±7.6,64.7±7.6,61.0±7.6
Oregon,91.3±4.5,81.2±5.8,89.2±4.8,87.3±4.7,90.9±4.4,79.9±5.7,83.0±5.5,65.4±6.6,83.1±5.6,90.5±4.3,82.7±5.3,84.9±5.3,57.6±7.0,66.1±6.7,78.9±5.9,75.7±6.2,71.6±6.5,69.6±6.6,66.7±6.7
Pennsylvania,94.3±3.0,80.1±5.3,91.7±3.7,87.0±4.6,92.3±3.4,79.2±5.4,92.0±3.3,83.2±4.3,88.0±4.3,90.7±3.8,81.0±5.1,80.0±5.1,58.5±6.1,72.5±5.5,77.6±5.5,74.7±5.7,73.4±5.7,71.7±5.8,68.3±5.9
PA-Philadelphia County,93.7±3.9,85.4±5.7,92.9±4.2,92.6±4.3,91.4±4.7,82.9±6.1,91.0±4.3,78.1±6.0,92.6±4.1,91.0±4.6,80.9±6.4,85.8±5.5,58.1±7.6,68.0±7.2,84.6±5.9,82.2±6.1,78.9±6.7,78.4±6.7,73.8±7.1
PA-Rest of State,94.4±3.5,79.1±6.2,91.5±4.3,85.9±5.5,92.5±3.9,78.5±6.3,92.2±3.9,84.2±5.1,87.1±5.1,90.6±4.4,81.0±5.9,78.9±6.0,58.6±7.1,73.4±6.4,76.3±6.5,73.3±6.6,72.3±6.7,70.4±6.7,67.2±6.9
Rhode Island,99.4±0.9,89.0±4.9,98.4±1.5,94.3±3.1,96.5±2.6,84.4±5.7,96.3±2.7,68.3±6.7,93.5±3.4,95.8±3.0,87.4±5.4,88.2±4.5,57.3±6.9,79.8±6.4,87.3±5.1,77.8±6.1,77.8±6.1,76.0±6.2,72.5±6.5
South Carolina,95.5±2.7,80.9±6.0,95.3±2.7,93.2±3.5,95.6±2.6,81.6±5.8,94.4±3.3,78.4±5.8,95.5±2.6,95.2±2.7,81.3±6.0,82.1±5.9,48.5±7.3,70.6±6.7,79.2±6.0,76.4±6.2,75.8±6.3,75.8±6.3,71.8±6.7
South Dakota,94.8±3.0,79.2±5.5,93.0±3.6,93.3±3.0,95.0±3.0,78.4±5.7,92.2±3.5,76.6±5.6,92.6±3.3,93.0±3.3,79.3±5.4,71.4±6.0,45.3±6.8,59.5±7.0,76.9±5.6,71.0±6.1,68.6±6.2,67.5±6.2,63.6±6.4
Tennessee,95.2±3.4,82.0±6.0,93.8±3.7,92.2±4.0,94.1±3.6,84.0±5.5,92.5±4.0,68.8±7.0,92.9±3.9,93.7±3.9,84.4±5.4,87.6±5.0,55.4±7.7,64.3±7.6,79.8±6.3,76.4±6.6,74.7±6.7,74.6±6.7,73.1±6.8
Texas,92.7±2.1,77.4±3.6,90.2±2.5,89.7±2.4,91.4±2.4,76.3±3.7,84.5±3.3,74.6±3.7,89.4±2.5,91.1±2.4,80.2±3.4,85.9±2.9,57.4±4.0,67.5±3.9,76.4±3.6,72.5±3.8,67.7±4.0,67.0±4.0,64.8±4.0
TX-Bexar County,92.5±4.0,77.5±6.4,89.7±4.8,90.9±4.0,92.1±4.1,76.5±6.7,89.2±4.4,76.4±6.4,93.3±3.3,92.7±3.7,81.4±5.9,91.6±3.6,62.6±7.6,67.5±7.4,77.2±6.4,73.4±6.9,70.8±7.1,69.8±7.2,65.7±7.5
TX-City of Houston,96.7±3.0,83.4±6.8,95.6±3.5,92.2±4.7,95.3±3.7,82.1±7.0,92.4±4.3,84.3±5.6,91.6±4.7,95.8±3.3,85.4±6.1,90.8±5.2,64.4±8.4,79.7±7.6,82.0±7.0,78.2±7.5,75.8±7.6,74.6±7.6,70.9±7.9
TX-Dallas County,93.3±3.9,78.8±6.6,91.9±4.2,86.5±5.6,93.3±3.9,80.1±6.3,84.9±5.8,72.3±7.0,89.0±4.8,91.1±4.6,79.7±6.7,85.9±5.7,56.8±8.0,72.0±7.2,77.4±6.7,75.8±6.7,73.4±7.0,73.4±7.0,69.8±7.5
TX-El Paso County,91.0±3.9,76.5±6.1,88.0±4.6,87.1±4.7,91.2±3.9,73.2±6.1,84.4±4.9,77.9±5.6,87.7±4.6,89.0±4.3,75.4±5.9,87.7±4.7,57.4±6.7,68.4±6.7,74.9±6.2,70.1±6.5,65.8±6.6,65.4±6.6,62.3±6.7
TX-Rest of State,91.9±3.0,76.2±5.0,89.2±3.5,89.7±3.3,90.3±3.4,74.8±5.2,82.5±4.7,72.8±5.2,88.8±3.5,90.2±3.4,79.4±4.8,84.3±4.1,55.7±5.6,64.5±5.4,75.3±5.1,71.0±5.4,65.1±5.6,64.4±5.6,62.9±5.6
Utah,93.6±4.4,80.5±6.6,93.1±4.5,87.3±5.5,93.9±3.9,80.6±6.7,91.2±4.7,78.6±6.3,86.9±5.4,91.0±5.0,85.3±5.7,88.1±5.2,57.1±7.7,74.5±6.8,79.8±6.6,77.5±6.9,76.1±7.0,74.9±7.1,73.0±7.2
Vermont,97.1±2.4,86.0±5.0,93.0±3.6,91.7±3.8,92.2±3.9,82.5±5.2,90.1±4.2,36.0±6.7,80.4±5.7,92.2±3.9,84.2±5.1,65.2±6.5,37.4±6.4,64.2±6.6,81.2±5.6,74.9±6.1,72.2±6.3,65.5±6.6,63.2±6.7
Virginia,96.9±2.8,82.7±6.6,95.2±3.1,94.3±3.9,96.6±2.8,80.0±6.8,91.6±4.6,71.4±7.4,92.3±4.6,97.0±2.7,87.2±5.7,80.7±7.0,50.0±8.3,71.9±7.9,79.6±6.9,74.4±7.5,72.0±7.7,71.1±7.7,69.8±7.7
Washington,91.8±4.2,84.0±5.5,89.2±4.7,84.8±5.8,91.7±4.3,81.0±6.2,86.3±5.2,73.2±6.5,84.5±5.8,90.6±4.5,80.4±6.3,79.3±6.5,51.0±7.4,68.6±7.0,79.1±6.2,74.1±6.8,70.0±7.0,69.3±7.0,65.2±7.2
West Virginia,94.6±3.7,79.1±6.8,92.8±4.1,84.6±6.0,92.4±4.3,76.6±7.0,85.5±6.0,74.4±6.6,84.0±6.0,90.5±5.0,74.5±7.3,81.9±6.3,54.9±7.9,62.6±7.8,73.3±7.3,67.8±7.7,65.0±7.8,61.9±7.9,60.8±7.9
Wisconsin,91.8±4.9,87.8±5.3,88.9±5.3,89.3±5.2,90.3±5.1,83.6±5.9,88.4±5.2,72.2±6.5,88.5±5.0,91.3±4.9,84.5±5.8,78.6±6.3,55.6±7.4,67.4±7.1,85.2±5.6,81.8±6.0,78.7±6.3,77.2±6.4,75.2±6.5
Wyoming,95.3±2.8,79.4±6.0,94.4±3.0,91.2±3.9,93.1±3.7,79.8±5.9,91.4±3.8,64.8±7.1,88.0±4.7,91.4±4.0,81.7±5.7,56.2±7.6,32.3±6.8,69.1±6.7,77.7±6.1,75.0±6.3,71.6±6.6,68.8±6.8,67.2±6.8
