,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,4+DTP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+Var††,3+PCV‡‡,4+PCV§§,4:3:1llll,4:3:1:3¶¶,4:3:1:3:3***,4:3:1:3:3:1†††
Colorado,87.7±3.9,94.2±2.9,93.2±2.8,96.2±2.0,95.4±2.2,87.2±4.3,81.8±4.5,47.0±6.1,85.1±4.3,84.4±4.3,83.4±4.4,78.6±5.1
   CO-Denver,89.8±5.4,91.7±5.5,91.6±5.1,95.7±3.4,95.2±3.8,87.2±6.2,84.6±6.1,49.0±8.7,85.6±6.4,84.9±6.5,83.8±6.6,78.8±7.5
   CO-Rest of State,86.1±5.6,96.2±2.8,94.4±2.9,96.6±2.3,95.6±2.5,87.1±6.0,79.6±6.5,45.4±8.4,84.7±5.8,83.9±5.8,83.2±5.9,78.4±6.9
Connecticut,89.6±4.9,94.6±3.3,95.2±3.1,97.1±2.7,91.2±4.8,91.0±4.4,91.0±4.8,70.9±7.1,89.4±4.9,89.4±4.9,86.1±5.4,81.5±6.1
Delaware,88.3±6.2,92.1±4.7,95.2±3.6,93.2±4.1,91.2±4.5,89.5±5.5,83.2±6.1,53.7±9.2,86.7±6.3,86.7±6.3,84.2±6.6,81.6±7.2
District of Columbia,85.3±5.3,91.0±4.3,91.6±4.0,91.2±5.2,86.0±5.0,90.6±4.2,76.8±6.3,45.3±6.7,81.4±5.6,78.0±6.3,73.5±6.6,72.1±6.6
Florida,82.6±5.6,87.9±5.1,92.0±4.0,93.7±3.9,91.3±4.4,91.1±4.2,65.6±6.8,33.8±6.4,81.5±5.6,81.2±5.6,79.3±5.9,78.2±6.0
   FL-Duval County,82.9±5.8,90.7±4.7,90.1±4.4,95.0±3.0,94.7±3.0,87.8±5.0,72.3±7.0,42.9±7.1,79.4±6.3,78.4±6.3,78.0±6.3,76.5±6.4
   FL-Rest of State,82.6±5.9,87.7±5.4,92.2±4.3,93.6±4.1,91.1±4.6,91.3±4.4,65.2±7.2,33.3±6.8,81.7±6.0,81.4±6.0,79.4±6.3,78.3±6.3
Georgia,88.1±3.9,93.0±3.2,92.9±3.6,94.5±2.9,93.4±3.2,91.9±3.3,80.1±4.9,51.1±6.0,86.2±4.2,85.9±4.2,84.7±4.3,82.4±4.5
   GA-Fulton/DeKalb Counties,79.3±8.5,85.2±7.0,91.1±6.1,89.8±6.5,90.4±5.6,88.9±6.5,75.2±8.9,52.3±9.0,76.2±8.7,76.0±8.7,74.5±8.8,71.8±9.1
   GA-Rest of State,90.1±4.3,94.7±3.6,93.3±4.1,95.5±3.3,94.1±3.7,92.6±3.7,81.2±5.6,50.8±7.1,88.4±4.7,88.1±4.7,87.0±4.9,84.8±5.1
Hawaii,84.5±6.0,89.2±4.9,89.7±4.8,91.4±4.4,90.4±4.7,89.4±4.7,84.5±5.9,62.4±7.7,81.4±6.4,81.1±6.4,80.1±6.5,77.5±6.7
Idaho,83.1±5.1,90.5±4.1,86.5±5.0,92.7±3.6,91.9±3.8,77.4±5.8,82.6±5.3,48.0±6.9,79.3±5.6,79.3±5.6,78.1±5.8,68.4±6.5
Illinois,88.7±4.6,91.6±4.5,93.0±3.0,95.4±2.6,95.0±2.6,86.3±4.9,84.1±6.0,53.8±7.6,84.9±5.6,84.8±5.6,83.5±5.7,76.7±6.5
   IL-City of Chicago,84.0±5.7,88.4±5.1,87.8±5.2,92.9±3.5,90.6±4.3,82.8±6.5,86.7±4.8,49.9±7.1,79.9±6.0,79.4±6.0,75.4±6.4,69.7±7.0
   IL-Rest of State,90.3±5.9,92.8±5.8,94.9±3.6,96.2±3.2,96.5±3.1,87.6±6.3,83.1±7.9,NA,86.7±7.4,86.7±7.4,86.4±7.4,79.2±8.5
Indiana,82.5±7.5,89.8±6.0,91.2±5.6,94.0±4.6,95.2±4.3,82.8±7.1,84.5±6.5,57.0±8.9,78.9±8.0,78.5±8.0,78.1±8.1,69.9±8.6
Iowa,87.2±5.4,92.3±4.3,91.7±4.2,93.4±4.0,94.5±3.9,83.4±6.5,86.8±5.2,54.2±8.1,85.7±5.6,84.9±5.7,84.9±5.7,75.9±7.1
Kansas,88.5±4.4,91.4±3.9,92.7±3.4,93.0±3.4,90.5±3.9,81.5±6.0,76.6±6.0,48.6±7.3,87.5±4.6,86.2±4.7,83.8±5.0,72.0±6.7
Kentucky,85.7±6.2,94.9±3.3,90.2±5.5,94.8±3.8,93.0±3.9,83.3±6.7,81.8±6.8,57.4±8.4,84.8±6.3,82.9±6.8,79.7±7.1,71.1±8.1
Louisiana,80.5±4.1,91.7±2.8,89.2±3.0,94.3±2.4,93.0±2.5,89.0±3.0,84.8±3.5,52.3±4.9,78.2±4.3,77.1±4.4,76.0±4.4,74.1±4.5
Maine,91.4±4.5,97.1±2.6,92.2±4.2,96.4±2.9,90.0±5.0,84.2±5.7,83.7±6.1,58.3±7.7,88.8±5.0,88.0±5.1,83.3±6.0,75.8±6.7
Maryland,89.8±4.4,92.1±4.7,93.6±3.4,95.8±2.7,92.6±4.2,90.7±4.8,83.3±5.6,58.2±6.9,84.3±5.5,84.2±5.5,82.3±5.7,78.6±6.1
   MD-City of Baltimore,83.5±6.6,92.8±4.3,94.5±4.1,91.0±5.2,95.4±3.2,92.7±4.5,87.3±5.3,58.5±8.1,80.7±6.9,80.1±6.9,79.0±7.0,76.5±7.1
   MD-Rest of State,90.7±5.0,92.0±5.3,93.5±3.9,96.5±3.0,92.2±4.8,90.4±5.5,82.8±6.4,58.2±7.8,84.8±6.2,84.8±6.2,82.7±6.4,78.9±6.9
Massachusetts,97.0±2.3,98.4±1.6,97.0±2.2,99.4±0.8,97.9±2.0,95.4±2.6,94.9±3.1,80.9±5.8,95.6±2.7,95.4±2.7,93.5±3.3,90.7±3.8
Michigan,87.0±4.4,93.3±3.4,93.7±2.8,95.3±2.3,95.5±2.3,93.4±2.7,85.0±4.4,50.2±6.5,84.5±4.7,84.2±4.7,82.7±4.8,80.6±5.0
   MI-City of Detroit,79.1±8.1,89.3±6.5,90.7±5.2,90.7±5.8,93.6±3.6,90.4±4.9,76.9±8.2,34.7±8.3,75.8±8.4,73.8±8.7,73.1±8.7,70.5±8.9
   MI-Rest of State,88.0±4.9,93.8±3.7,94.0±3.0,95.9±2.5,95.7±2.5,93.8±3.0,86.0±4.8,52.1±7.2,85.6±5.2,85.4±5.2,83.9±5.3,81.8±5.5
Minnesota,89.3±4.9,96.3±3.1,91.4±4.8,93.2±4.0,94.7±3.6,86.7±5.1,86.6±5.3,51.2±7.6,88.4±5.2,85.5±5.7,85.2±5.7,78.1±6.4
Mississippi,86.2±4.9,94.8±3.2,91.0±4.3,89.4±4.5,92.9±4.0,88.4±4.5,73.2±6.4,43.0±7.3,85.1±5.1,84.4±5.2,83.6±5.3,79.1±5.8
Missouri,85.3±4.1,94.4±2.3,90.3±3.3,94.5±2.9,94.1±2.5,87.9±3.7,76.6±5.3,55.8±5.8,82.2±4.3,80.9±4.6,79.3±4.7,73.1±5.2
   MO-St. Louis County/City of,86.5±5.4,92.6±4.4,93.0±3.8,96.1±3.0,92.7±4.2,89.8±4.5,89.7±5.1,65.3±7.5,83.7±5.7,83.7±5.7,79.2±6.3,73.6±6.8
   MO-Rest of State,85.0±5.0,94.9±2.7,89.5±4.2,94.0±3.7,94.6±2.9,87.3±4.6,72.8±6.6,53.0±7.1,81.7±5.3,80.1±5.7,79.4±5.8,73.0±6.3
Montana,85.6±5.3,95.3±2.7,93.6±3.8,91.5±4.4,91.0±4.5,75.5±6.5,81.7±6.0,52.1±7.1,84.1±5.4,83.1±5.5,79.6±6.1,65.4±6.9
Nebraska,91.7±3.9,95.7±2.9,94.8±2.9,96.7±2.5,95.0±3.0,89.9±4.1,81.7±5.9,63.1±7.4,91.0±4.1,89.8±4.4,89.1±4.5,83.9±5.2
Nevada,73.5±5.9,86.3±4.4,85.7±4.6,89.4±4.0,83.2±4.7,84.4±4.5,69.7±5.9,36.8±5.9,71.2±5.9,71.1±5.9,66.7±6.0,63.2±6.1
   NV-Clark County,70.8±7.5,84.9±5.6,84.4±5.8,88.2±5.1,80.5±6.0,82.4±5.8,69.6±7.5,35.9±7.4,68.5±7.6,68.5±7.6,63.1±7.7,58.8±7.9
   NV-Rest of State,81.1±7.2,90.1±5.8,89.4±5.9,92.7±5.2,90.7±5.7,90.2±5.6,70.0±7.9,39.4±8.2,78.9±7.4,78.4±7.4,76.9±7.5,75.8±7.5
New Hampshire,87.8±4.8,95.1±3.0,88.3±4.9,96.3±2.7,93.3±4.0,82.9±5.5,86.9±4.8,58.1±7.0,85.0±5.1,85.0±5.1,82.8±5.7,77.1±6.1
New Jersey,84.4±5.2,86.4±5.1,85.3±5.1,92.1±4.1,92.3±4.0,83.8±5.5,82.0±5.6,56.0±7.1,79.3±5.8,78.5±5.9,78.2±5.9,72.4±6.4
   NJ-City of Newark,81.6±6.0,89.5±4.5,87.2±5.2,92.6±4.2,91.3±4.6,82.8±5.8,75.6±6.5,36.0±6.8,78.2±6.2,77.3±6.3,75.0±6.6,67.4±7.1
   NJ-Rest of State,84.6±5.4,86.2±5.3,85.2±5.3,92.1±4.3,92.4±4.1,83.9±5.8,82.3±5.9,56.9±7.4,79.4±6.1,78.6±6.1,78.4±6.1,72.6±6.7
New Mexico,82.2±6.2,91.6±4.1,91.2±4.7,89.8±4.7,90.4±4.5,86.3±5.6,79.4±6.8,43.2±8.0,81.5±6.3,79.6±6.5,78.4±6.7,74.6±7.0
New York,89.0±3.6,92.0±3.3,92.9±3.0,93.7±3.0,93.7±2.9,87.6±3.6,85.1±3.9,55.1±5.6,85.0±4.0,83.7±4.1,81.6±4.3,74.4±4.7
   NY-City of New York,86.8±5.9,91.0±5.4,92.4±4.8,90.8±5.5,90.1±5.6,87.5±5.4,80.9±6.6,48.5±8.0,83.2±6.4,81.0±6.7,78.1±7.0,70.5±7.4
   NY-Rest of State,91.2±4.1,92.9±3.8,93.3±3.7,96.4±2.6,97.1±2.0,87.7±4.7,88.9±4.4,61.2±7.8,86.7±4.8,86.2±4.9,84.8±5.0,78.1±5.9
North Carolina,91.3±4.3,94.5±3.6,94.4±3.7,97.6±2.7,91.9±4.3,91.3±4.1,88.3±5.1,61.1±7.8,89.1±4.8,89.1±4.8,85.2±5.4,81.6±5.8
North Dakota,87.8±4.4,96.6±2.6,92.3±3.9,96.2±2.7,96.3±2.6,87.2±4.5,84.9±4.9,52.5±6.9,86.6±4.5,86.3±4.5,85.0±4.7,78.7±5.4
Ohio,87.9±4.0,93.2±3.0,93.1±3.0,94.3±2.9,95.5±2.3,86.3±4.2,81.0±4.9,55.7±6.0,85.4±4.4,85.0±4.4,84.1±4.5,77.7±5.1
   OH-Cuyahoga County,91.7±4.2,95.8±2.7,93.0±3.6,97.1±2.2,95.1±3.4,87.2±5.2,82.3±6.3,54.3±7.9,88.0±4.6,86.6±4.9,84.8±5.3,77.4±6.3
   OH-Franklin County,88.6±6.0,91.9±5.3,95.6±3.6,94.3±3.8,94.6±3.8,89.5±5.3,91.6±4.5,60.7±8.2,87.0±6.1,86.7±6.1,85.9±6.2,80.5±7.1
   OH-Rest of State,87.3±5.1,93.0±3.8,92.8±3.8,93.9±3.7,95.7±2.9,85.7±5.3,79.2±6.3,55.2±7.6,84.8±5.6,84.5±5.6,83.8±5.7,77.3±6.4
Oklahoma,79.7±5.7,90.9±4.1,89.8±4.1,89.3±4.5,88.7±4.5,85.8±4.7,54.4±6.8,28.8±6.1,77.3±5.9,76.9±5.9,75.7±6.0,72.3±6.2
Oregon,78.7±6.5,87.3±5.4,82.7±5.6,87.3±5.4,84.3±5.6,76.2±6.5,78.0±6.3,49.2±7.7,76.1±6.7,75.3±6.7,72.9±7.1,65.3±7.4
Pennsylvania,87.8±4.9,90.8±4.6,93.6±4.1,93.7±4.0,95.7±3.6,89.2±4.9,88.9±4.9,71.3±6.1,84.5±5.2,83.4±5.2,83.2±5.2,77.3±5.8
   PA-Philadelphia County,85.0±5.6,96.4±2.5,95.7±2.8,91.8±4.5,94.5±3.1,93.6±3.5,92.8±4.2,60.2±9.2,85.0±5.6,79.9±6.5,78.7±6.5,77.0±6.6
   PA-Rest of State,88.3±5.7,89.8±5.3,93.2±4.7,94.1±4.7,95.9±4.2,88.4±5.7,88.2±5.7,73.3±7.0,84.4±6.0,84.1±6.1,84.1±6.1,77.3±6.7
Rhode Island,87.9±4.4,95.6±2.8,95.2±2.5,94.2±3.3,96.3±2.8,96.2±2.6,93.6±3.4,72.6±5.9,85.7±4.6,84.3±4.8,83.1±4.9,80.1±5.3
South Carolina,82.6±6.2,89.3±5.6,87.3±5.7,90.2±5.3,94.1±4.6,87.4±5.7,86.1±5.9,61.9±7.2,79.2±6.6,78.5±6.6,78.5±6.6,75.6±6.8
South Dakota,89.7±4.2,94.1±3.4,94.4±3.0,94.1±3.4,95.3±2.8,85.7±5.0,65.8±6.7,42.1±7.0,88.4±4.5,88.1±4.5,86.9±4.7,79.5±5.8
Tennessee,85.7±3.9,94.6±2.4,92.0±2.9,93.5±2.7,94.7±2.4,89.8±3.5,90.0±3.0,53.7±5.8,84.4±4.0,83.8±4.1,82.9±4.2,80.0±4.5
   TN-Davidson County,87.3±6.1,94.3±4.5,92.5±4.7,95.0±4.3,94.7±4.3,88.8±5.8,86.8±6.6,53.1±7.9,86.6±6.1,86.6±6.1,86.6±6.1,81.3±6.9
   TN-Shelby County,78.0±7.8,90.1±5.0,86.6±6.0,89.6±5.1,90.3±4.9,86.2±6.3,84.5±5.9,43.6±8.1,76.4±7.6,76.2±7.6,75.8±7.6,74.1±7.6
   TN-Rest of State,87.5±5.0,95.8±3.0,93.4±3.6,94.2±3.6,95.8±3.2,90.8±4.6,91.9±3.8,56.4±7.9,86.1±5.2,85.3±5.4,84.1±5.6,81.4±6.0
Texas,83.7±3.4,92.7±2.2,89.1±3.1,92.8±2.5,91.5±2.6,88.9±3.0,85.2±3.3,53.0±4.8,81.5±3.7,80.8±3.7,78.4±3.9,76.8±4.0
   TX-Bexar County,79.4±7.2,89.1±5.4,89.2±4.8,89.7±5.9,88.4±5.5,88.2±5.1,83.5±6.3,45.6±7.9,78.7±7.2,77.4±7.3,74.6±7.5,71.3±7.7
   TX-City of Houston,81.8±5.8,92.5±4.5,92.3±4.6,93.0±4.4,91.1±4.6,90.6±4.8,85.4±5.6,55.5±7.1,80.6±5.9,80.3±5.9,78.1±6.1,76.6±6.1
   TX-Dallas County,81.7±6.9,89.7±5.5,87.4±6.3,92.8±4.5,87.5±6.3,89.4±5.8,82.8±6.7,53.2±8.7,78.7±7.2,77.3±7.4,74.2±7.8,72.8±7.9
   TX-El Paso County,78.4±5.9,91.1±4.0,89.3±4.5,94.6±3.3,87.4±4.7,87.7±4.4,79.7±5.8,47.2±6.9,76.2±6.0,76.2±6.0,71.1±6.4,69.2±6.4
   TX-Rest of State,85.1±4.8,93.7±3.0,88.8±4.4,93.0±3.5,92.9±3.6,88.7±4.4,86.0±4.6,53.6±6.9,82.7±5.2,82.1±5.3,80.0±5.7,78.5±5.8
Utah,80.9±7.7,86.4±7.3,89.0±5.5,91.0±6.2,91.3±4.8,81.2±7.5,80.3±7.7,52.5±9.2,75.7±8.4,75.7±8.4,74.1±8.5,68.1±8.8
Vermont,86.2±5.7,96.1±3.1,92.6±4.0,97.5±2.2,94.0±3.5,68.5±7.8,88.8±5.0,66.5±7.7,83.4±6.2,83.4±6.2,81.5±6.4,62.9±8.1
Virginia,86.7±5.7,93.0±4.6,93.3±4.2,97.2±2.0,97.3±1.8,89.9±4.8,86.5±6.1,63.6±7.8,86.0±5.8,85.8±5.8,85.8±5.8,81.7±6.1
Washington,85.1±4.6,88.4±4.0,90.6±3.5,93.6±3.0,87.4±3.7,76.6±5.1,78.9±5.2,51.8±6.2,81.2±5.0,81.2±5.0,77.8±5.2,66.3±5.9
   WA-King County,88.0±6.5,89.1±6.0,92.1±5.3,93.5±5.2,83.2±6.9,80.5±6.7,85.3±6.7,59.8±9.2,84.0±7.2,84.0±7.2,76.8±7.8,68.7±8.3
   WA-Rest of State,83.9±5.9,88.1±5.0,89.9±4.5,93.7±3.6,89.1±4.4,75.0±6.7,76.4±6.7,48.7±7.9,80.1±6.4,80.1±6.4,78.2±6.5,65.4±7.5
West Virginia,82.6±5.5,92.4±4.2,85.7±5.0,95.3±3.3,91.8±4.9,81.1±6.5,75.0±6.8,46.1±7.3,78.8±6.6,78.2±6.7,74.9±7.1,67.5±7.8
Wisconsin,86.6±4.4,94.9±2.5,91.6±3.3,92.3±3.3,92.6±3.6,87.0±4.5,85.2±4.8,60.3±6.2,85.6±4.4,85.0±4.5,82.2±5.1,77.1±5.5
   WI-Milwaukee County,81.7±8.7,94.8±3.8,89.1±6.5,88.8±7.6,94.6±3.9,86.8±7.2,85.6±7.4,53.9±9.2,80.6±8.6,79.7±8.6,79.1±8.6,73.6±9.0
   WI-Rest of State,87.9±5.0,94.9±3.0,92.2±3.8,93.2±3.5,92.1±4.5,87.0±5.3,85.2±5.7,62.0±7.5,86.9±5.1,86.4±5.2,83.0±6.0,78.1±6.6
Wyoming,83.1±5.7,92.1±4.1,89.4±4.7,94.7±3.5,90.4±4.7,77.2±6.6,80.7±6.2,44.1±7.6,80.7±5.9,80.5±5.9,78.6±6.1,66.9±7.2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
