,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region,3+DTaP‡,4+DTaP§,3+Polioll,1+MMR¶,3+Hib**,3+Hib-S††,Hib by brand‡‡,3+HepB§§,Hep B Birth dosellll,1+Var¶¶,3+PCV***,4+PCV†††,2+HepA‡‡‡,Rotavirus§§§,4:3:1llllll,4:3:1:3:3:1¶¶¶,4:3:1:3:3:1-S****,4:3:1:4:3:1€,4:3:1:3:3:1:4?,4:3:1:3:3:1:4-S€€,4:3:1:4:3:1:4??,4:3:1:0:3:1:4€€€,4:3:1:0:3:1:4-2008???
District of Columbia,94.3±3.7,83.9±5.4,89.6±4.8,91.2±4.5,90.6±4.2,92.2±4.0,62.3±7.1,89.9±4.8,67.9±6.8,92.5±3.8,94.1±3.5,77.6±7.1,54.1±7.2,39.3±7.1,80.9±5.8,75.0±6.4,75.5±6.4,55.6±7.2,62.7±7.5,63.2±7.5,48.3±7.2,63.8±7.5,70.1±6.8
Florida,97.2±2.2,90.3±4.0,92.7±3.6,91.2±3.8,89.3±4.3,94.2±3.3,61.9±6.7,93.5±3.5,47.8±6.8,92.9±3.4,93.7±3.2,79.5±5.5,44.6±6.6,36.4±6.5,85.4±4.8,74.7±5.7,77.4±5.5,56.1±6.7,65.1±6.2,67.8±6.1,49.0±6.6,68.7±6.1,72.9±5.5
Georgia,95.5±3.0,82.8±5.5,94.3±3.2,91.3±4.2,78.6±5.8,91.8±3.6,56.0±7.3,94.1±3.3,71.2±6.6,91.5±4.4,94.7±3.1,79.4±5.9,58.1±7.1,48.5±7.1,82.2±5.6,69.3±6.6,76.7±6.1,51.1±7.4,62.9±7.0,70.3±6.7,45.8±7.4,73.1±6.5,70.2±7.0
Hawaii,93.2±3.7,80.0±6.1,89.6±4.6,86.7±5.3,79.5±6.0,87.7±5.1,51.4±7.6,87.9±5.0,65.4±7.3,90.5±4.3,90.1±4.5,80.7±5.9,47.1±7.7,39.4±7.5,78.2±6.3,66.9±7.1,73.2±6.7,47.3±7.6,63.8±7.2,70.1±6.9,46.7±7.6,71.0±6.9,76.2±6.8
Idaho,94.7±3.5,84.0±5.5,94.7±3.5,88.1±4.8,64.1±7.5,90.9±4.5,44.5±7.7,94.3±3.6,70.3±7.1,84.1±5.7,93.9±3.8,82.5±6.0,37.3±7.5,30.3±7.2,81.8±5.7,51.7±7.7,73.3±6.7,35.8±7.4,48.0±7.7,69.3±7.1,33.6±7.2,70.5±7.0,60.4±6.6
Illinois,96.1±2.1,84.0±4.4,91.8±3.2,88.2±3.9,87.8±3.8,93.5±3.2,63.8±5.8,93.9±2.6,58.6±5.7,88.8±3.7,92.3±3.4,82.9±4.6,38.0±5.5,37.9±5.4,81.0±4.7,72.6±5.1,76.5±5.0,56.1±5.8,68.5±5.3,72.3±5.2,53.7±5.8,72.8±5.2,66.2±5.1
   IL-City of Chicago,95.1±3.1,81.2±6.4,88.9±5.7,90.4±4.0,89.5±4.3,95.6±2.6,67.9±7.0,92.3±3.5,69.8±7.1,90.8±3.9,93.1±3.5,84.7±5.0,47.2±7.5,39.9±7.1,78.2±6.6,72.0±6.9,74.2±6.8,57.8±7.6,69.2±7.0,71.4±6.9,55.8±7.6,71.4±6.9,72.3±6.5
   IL-Rest of State,96.4±2.6,84.9±5.5,92.9±3.9,87.5±5.1,87.2±4.8,92.7±4.2,62.4±7.3,94.5±3.3,54.7±7.3,88.1±4.8,92.0±4.5,82.3±5.9,34.8±6.8,37.2±6.8,81.9±5.9,72.8±6.4,77.3±6.2,55.4±7.4,68.3±6.8,72.6±6.6,53.0±7.4,73.2±6.6,64.1±6.4
Indiana,92.6±3.8,79.8±5.7,91.3±3.9,86.6±4.6,82.8±5.7,89.7±4.8,53.3±6.5,91.6±3.4,74.8±5.4,85.7±4.8,91.0±4.0,78.6±5.6,46.1±6.5,50.8±6.5,76.8±5.9,65.9±6.5,69.9±6.3,45.7±6.4,61.9±6.5,65.8±6.4,43.4±6.4,67.3±6.3,72.2±6.5
   IN-Lake County,94.4±3.5,80.7±6.6,92.2±3.9,82.7±6.4,87.7±5.0,91.6±4.4,55.2±7.7,90.6±5.1,69.9±7.6,81.8±6.6,91.3±4.4,75.5±7.3,22.6±6.8,33.4±7.4,74.0±7.1,65.1±7.7,68.3±7.5,47.3±7.8,58.2±8.0,60.6±8.0,43.9±7.9,61.5±8.0,NA
   IN-Marion County,93.5±4.3,79.7±6.1,91.1±4.6,87.4±5.0,87.4±5.1,91.2±4.7,61.5±7.1,92.8±3.9,77.4±6.0,88.0±4.9,92.3±4.4,81.0±6.0,45.1±7.3,44.3±7.3,78.5±6.1,72.2±6.5,73.7±6.5,52.9±7.4,68.0±6.9,69.3±6.9,50.1±7.4,69.5±6.9,NA
   IN-Rest of State,92.2±5.0,79.7±7.4,91.3±5.1,86.8±6.1,81.1±7.5,89.2±6.3,51.2±8.5,91.4±4.4,74.8±7.0,85.5±6.3,90.7±5.2,78.4±7.4,48.8±8.5,54.2±8.5,76.7±7.7,64.5±8.5,69.1±8.3,43.8±8.4,60.9±8.5,65.5±8.4,41.8±8.3,67.4±8.2,NA
Iowa,97.5±2.3,88.9±4.8,96.0±2.9,93.2±3.8,74.7±6.0,94.6±3.4,50.8±7.2,95.1±3.1,46.7±7.2,93.6±3.5,91.3±4.1,83.8±5.3,47.8±7 .0,51.1±7.1,88.2±4.8,65.6±6.7,84.1±5.4,47.0±7.2,60.0±7.0,76.7±6.2,42.5±7.1,78.1±6.0,71.7±6.2
Kansas,95.1±4.1,87.2±5.9,93.8±4.4,92.5±4.6,86.7±6.3,90.8±5.3,56.4±8.6,91.6±4.6,72.6±7.7,92.0±4.6,91.5±4.9,78.6±7.4,43.8±8.5,39.7±8.1,86.2±6.0,77.0±7.4,80.5±6.8,52.6±8.6,65.8±8.5,69.3±8.2,46.0±8.7,71.7±8.0,71.0±6.4
Kentucky,96.1±2.8,84.7±4.5,96.1±2.3,88.9±3.8,79.7±4.6,92.7±3.0,57.3±6.1,95.1±2.4,76.6±5.0,91.3±3.3,90.3±3.8,75.2±5.4,37.9±5.7,45.3±5.8,82.1±4.7,65.6±5.8,76.8±5.1,51.0±6.1,56.0±6.0,66.7±5.7,43.4±6.0,67.5±5.7,71.4±6.3
Louisiana,98.3±1.5,84.1±5.7,98.1±1.5,94.4±3.0,88.2±4.8,96.6±2.2,64.7±7.2,96.0±2.4,63.0±6.9,95.3±2.8,94.7±3.5,81.6±5.9,52.2±7.4,50.9±7.4,82.8±5.8,76.9±6.3,80.7±5.9,56.9±7.4,70.1±6.8,73.8±6.6,53.7±7.4,74.9±6.5,73.7±5.7
Maine,94.1±3.5,87.2±4.9,92.3±3.9,91.4±3.9,65.0±6.8,84.7±5.2,46.9±7.1,90.6±3.9,68.6±6.2,90.4±3.8,92.0±3.8,82.5±5.2,19.3±5.2,28.5±6.3,83.9±5.3,52.5±6.9,69.5±6.4,39.1±6.9,49.6±6.9,65.8±6.5,37.6±6.9,72.3±6.1,73.1±5.9
Maryland,96.2±3.2,89.0±4.8,95.3±3.4,89.7±5.2,88.5±4.8,93.8±3.5,51.9±8.1,95.3±3.1,67.6±7.8,91.4±4.9,95.2±3.4,83.4±6.7,44.9±8.1,44.5±7.9,87.0±5.2,79.9±6.0,83.7±5.5,49.8±8.1,73.4±7.3,77.1±7.0,45.2±8.1,77.9±7.0,74.9±5.6
   MD-City of Baltimore,94.0±3.6,80.5±6.2,92.8±3.9,91.0±4.4,76.4±6.5,83.9±5.7,48.0±7.3,93.1±3.7,67.8±7.0,90.1±4.3,93.7±3.6,80.1±6.5,46.1±7.3,37.5±6.7,79.5±6.3,62.8±7.2,68.7±7.0,40.6±7.2,58.9±7.4,64.2±7.3,39.8±7.2,70.4±7.0,71.5±6.2
   MD-Rest of State,96.6±3.6,90.2±5.5,95.7±3.8,89.5±5.9,90.2±5.4,95.2±3.9,52.4±9.1,95.6±3.5,67.6±8.9,91.6±5.6,95.4±3.9,83.9±7.6,44.7±9.1,45.5±9.0,88.1±5.9,82.4±6.8,85.9±6.2,51.1±9.2,75.4±8.2,79.0±7.9,46.0±9.2,79.0±7.9,75.4±6.3
Massachusetts,96.7±2.4,88.9±4.5,95.8±2.5,93.7±3.2,94.7±3.4,94.7±3.4,41.9±6.9,95.0±2.7,62.5±6.8,90.2±4.2,94.8±3.4,86.0±5.3,47.1±7.1,45.2±7.0,87.7±4.6,81.1±5.7,81.1±5.7,36.9±6.8,75.7±6.3,75.7±6.3,32.7±6.5,76.0±6.3,76.5±6.2
Michigan,97.8±1.8,91.3±3.6,97.1±1.9,90.9±5.1,83.5±5.4,96.0±2.5,62.9±7.1,95.5±2.4,80.7±6.1,89.6±5.3,95.9±2.4,87.0±4.3,43.2±7.4,46.0±7.4,87.3±5.2,71.0±6.8,80.8±6.1,54.8±7.4,65.7±7.1,75.6±6.5,52.1±7.4,76.5±6.4,74.1±6.5
Minnesota,96.9±2.0,84.7±5.0,95.4±2.4,93.6±3.0,69.5±6.3,92.3±3.3,50.4±6.4,95.1±2.5,34.1±6.2,89.2±4.2,96.1±2.3,83.8±5.7,49.4±6.6,50.1±6.6,83.3±5.1,57.6±6.6,76.9±5.5,45.5±6.3,52.1±6.7,69.7±6.4,41.9±6.6,71.6±6.3,71.6±5.6
Mississippi,96.7±2.2,84.7±4.4,94.8±2.8,91.6±3.3,83.3±4.8,93.9±2.9,69.5±5.7,95.3±2.8,68.0±6.2,91.7±3.4,94.3±2.8,85.0±4.3,41.3±6.6,43.4±6.5,82.6±4.6,73.3±5.6,77.7±5.2,62.3±6.1,68.5±5.9,72.8±5.6,59.2±6.2,75.2±5.4,70.7±6.5
Missouri,90.6±5.2,78.4±6.2,87.5±5.5,88.8±5.0,79.9±6.2,88.6±5.3,47.3±6.9,89.4±5.0,59.9±6.7,87.8±4.3,86.1±5.9,67.5±6.9,33.6±6.5,46.9±7.1,74.2±6.5,60.5±7.0,64.6±6.9,37.9±6.7,50.1±6.9,54.1±7.0,31.5±6.4,56.2±7.0,63.1±6.7
Montana,91.3±4.1,76.0±6.5,89.6±4.3,87.2±5.0,68.6±7.0,83.4±5.6,52.4±7.6,88.9±4.4,65.2±7.2,77.5±6.6,88.7±4.6,74.6±6.7,31.1±7.0,30.7±6.8,75.0±6.5,55.2±7.5,65.9±7.2,42.5±7.7,49.4±7.7,59.1±7.5,38.7±7.6,61.7±7.5,59.5±6.8
Nebraska,96.7±2.4,81.8±5.4,94.4±2.9,93.6±3.1,74.0±6.2,92.3±3.8,53.2±7.4,94.5±3.0,45.4±7.4,89.0±4.8,93.1±4.1,79.2±6.5,52.7±7.3,62.3±7.4,80.8±5.4,59.9±7.2,74.3±6.3,42.7±7.5,50.7±7.5,64.0±7.4,38.1±7.2,65.4±7.3,68.8±6.1
Nevada,88.6±4.3,75.5±5.8,85.8±4.8,86.3±4.6,76.8±5.4,87.4±4.2,50.9±6.8,87.7±4.3,72.3±5.8,83.4±4.9,84.5±4.9,75.1±5.7,49.1±6.8,34.4±6.4,72.7±6.0,59.4±6.5,65.8±6.2,41.9±6.7,54.7±6.6,60.6±6.4,39.3±6.7,62.6±6.5,55.2±7.0
New Hampshire,96.4±2.7,87.5±4.6,93.8±3.4,92.0±3.8,97.1±2.3,97.1±2.3,46.4±7.0,94.8±2.9,63.7±7.1,89.0±4.8,94.2±3.2,85.8±5.2,49.7±7.4,54.8±7.5,83.8±5.1,78.7±5.9,78.7±5.9,39.9±7.1,73.3±6.5,73.3±6.5,39.1±7.1,73.3±6.5,75.0±5.9
New Jersey,95.5±3.2,82.1±5.9,93.5±3.5,86.9±4.3,87.3±5.4,92.8±3.8,57.9±6.7,90.9±4.2,39.0±6.1,88.2±4.3,90.7±4.2,79.6±6.0,34.5±6.0,42.4±6.3,77.7±6.1,67.2±6.5,70.2±6.4,46.7±6.5,63.1±6.5,66.1±6.5,44.7±6.4,67.2±6.4,60.5±6.5
New Mexico,93.0±3.4,80.6±5.8,90.0±3.9,89.1±4.1,80.1±5.4,86.9±4.6,55.8±6.6,90.1±3.8,51.2±6.8,89.8±3.8,92.0±3.5,79.9±5.4,40.8±6.5,43.6±6.6,78.2±6.0,68.2±6.6,74.3±6.2,48.6±6.7,63.2±6.7,68.4±6.5,45.8±6.6,70.2±6.4,74.6±6.3
New York,96.2±2.0,84.0±4.0,92.8±2.7,90.3±3.2,84.6±3.8,92.5±2.9,58.0±5.2,92.0±3.0,48.6±5.4,88.8±3.3,93.9±2.5,80.1±4.3,34.6±5.2,39.5±5.3,81.4±4.1,69.1±4.8,73.1±4.7,51.2±5.3,62.2±5.1,65.9±5.0,47.8±5.3,67.2±5.0,67.7±4.4
   NY-City of New York,96.4±3.2,85.7±5.6,93.7±3.7,91.9±4.4,87.2±5.1,91.3±4.7,62.8±7.4,91.4±4.6,41.1±7.8,91.2±4.6,92.4±4.2,77.2±6.5,35.0±7.4,38.6±7.7,83.1±5.9,71.7±6.9,74.2±6.8,55.5±7.6,63.1±7.3,65.6±7.3,50.8±7.6,67.5±7.2,69.7±6.0
   NY-Rest of State,95.9±2.6,82.4±5.7,91.9±3.9,88.7±4.5,82.2±5.6,93.6±3.4,53.3±7.4,92.5±3.7,55.8±7.4,86.5±4.8,95.3±2.7,82.9±5.5,34.2±7.3,40.4±7.3,79.9±5.8,66.6±6.8,72.0±6.5,47.1±7.4,61.4±7.1,66.2±6.9,44.9±7.4,67.0±6.8,65.7±6.4
North Carolina,95.4±3.2,85.9±5.5,92.9±4.0,92.9±4.0,62.6±7.3,90.1±4.4,47.7±7.8,93.9±3.5,76.6±6.7,91.9±4.1,91.7±4.2,84.0±5.8,47.5±7.7,41.1±7.4,83.3±5.9,55.8±7.4,78.3±6.2,43.2±7.5,52.6±7.5,73.9±6.7,40.2±7.5,76.7±6.5,69.9±6.5
North Dakota,97.1±2.5,85.4±5.3,96.5±2.7,94.4±3.2,65.2±6.8,91.8±3.8,53.2±7.2,96.7±2.6,78.3±6.0,93.6±3.6,96.3±2.7,84.0±5.5,63.2±7.0,62.6±7.1,84.9±5.4,56.4±7.2,77.8±6.1,46.9±7.2,52.4±7.2,72.7±6.5,43.4±7.2,77.0±6.2,69.7±6.1
Ohio,94.6±2.8,83.3±5.0,92.6±3.2,89.4±4.2,87.8±4.7,91.1±4.2,54.3±7.3,91.5±3.6,63.6±7.5,87.1±4.5,93.0±3.2,82.1±5.3,46.7±7.4,48.9±7.4,80.8±5.3,73.8±6.2,74.8±6.1,47.5±7.3,68.8±6.6,69.8±6.6,44.7±7.3,72.4±6.2,71.7±6.8
Oklahoma,94.9±2.6,83.7±5.2,93.4±2.9,94.2±2.7,81.5±5.5,90.7±4.3,63.2±6.4,93.9±3.3,66.0±6.3,91.5±3.3,91.5±4.0,74.0±6.1,59.0±6.5,33.4±6.3,81.7±5.4,70.2±6.3,76.5±5.9,59.1±6.6,60.4±6.7,66.0±6.5,51.9±6.7,66.3±6.5,57.4±7.5
Oregon,92.5±3.9,82.1±5.5,92.1±3.9,88.1±4.3,79.6±5.4,89.4±4.5,53.6±6.6,88.8±4.2,59.4±6.7,86.4±4.6,89.5±4.3,81.9±5.3,49.5±6.6,31.6±6.0,78.5±5.7,64.8±6.3,73.0±6.1,45.5±6.5,60.8±6.4,68.8±6.3,44.3±6.5,69.9±6.2,70.0±7.4
Pennsylvania,93.0±3.6,80.9±5.2,88.5±4.5,89.3±4.4,84.9±4.5,94.0±3.0,51.1±6.2,92.4±3.4,69.1±5.8,87.7±4.5,90.6±4.0,82.6±4.7,52.0±6.1,59.0±6.1,78.7±5.5,69.0±5.9,74.4±5.8,41.4±6.1,63.9±6.0,69.2±5.9,38.8±6.0,69.4±5.9,73.4±5.4
   PA-Philadelphia County,95.8±2.7,84.8±4.9,93.8±3.2,90.7±4.0,87.9±4.4,91.9±3.8,41.4±6.9,89.5±4.6,72.2±6.6,91.3±3.7,94.2±3.3,77.6±6.0,50.0±6.8,52.6±7.2,83.5±5.0,73.5±6.2,75.8±6.0,37.5±6.8,64.8±6.8,66.8±6.8,35.8±6.8,68.5±6.7,71.6±5.7
   PA-Rest of State,92.5±4.2,80.1±6.1,87.5±5.3,89.1±5.1,84.3±5.3,94.4±3.5,52.9±7.2,92.9±4.0,68.5±6.7,87.0±5.3,89.9±4.7,83.6±5.5,52.4±7.1,60.2±7.1,77.9±6.4,68.2±6.9,74.1±6.7,42.1±7.1,63.7±7.0,69.6±6.9,39.3±7.0,69.6±6.9,73.7±6.3
Rhode Island,96.8±3.5,82.3±6.4,96.5±3.5,90.8±4.2,60.2±7.7,86.3±5.3,38.8±7.6,98.8±1.5,69.5±7.3,93.0±3.4,96.5±2.8,83.6±6.5,55.5±7.8,71.2±7.3,78.8±6.7,50.6±7.9,70.0±7.1,34.6±7.6,44.9±7.9,63.5±7.6,29.2±7.0,69.7±7.5,73.9±7.2
South Carolina,97.3±2.0,81.7±5.5,96.4±2.3,86.9±4.9,79.0±5.5,94.1±2.9,42.1±6.8,97.0±2.1,62.5±6.8,88.3±4.7,95.3±2.6,79.7±5.9,43.9±6.8,42.5±6.7,80.6±5.6,66.9±6.4,76.7±5.9,38.9±6.7,59.7±6.7,68.8±6.5,34.6±6.4,70.9±6.4,73.5±6.0
South Dakota,96.9±2.2,82.4±5.6,96.2±2.6,92.8±3.5,92.3±3.6,94.9±3.0,51.6±7.2,96.3±2.6,53.0±7.2,87.3±4.6,93.9±3.1,80.6±5.9,43.0±7.2,38.6±7.0,81.4±5.7,74.8±6.2,76.9±6.1,45.8±7.1,67.1±6.8,69.1±6.7,42.8±7.1,69.6±6.7,63.6±6.4
Tennessee,99.0±0.9,89.0±3.8,96.5±2.0,94.7±2.7,87.4±4.0,96.6±1.8,55.2±6.6,96.2±2.5,49.7±6.7,92.9±3.2,96.8±2.1,81.2±5.3,47.3±6.7,53.1±6.8,86.8±4.3,74.4±5.6,81.8±4.9,49.0±6.7,65.0±6.2,71.3±6.0,44.8±6.6,72.5±5.9,75.8±5.9
Texas,94.6±1.9,82.1±4.2,92.2±2.4,88.5±3.2,88.9±3.4,91.7±3.1,48.9±5.5,92.2±2.4,69.8±4.8,91.2±2.7,93.4±2.1,80.8±4.2,55.0±5.5,45.8±5.4,80.2±4.4,73.9±4.9,75.2±4.8,43.3±5.4,67.6±5.3,68.9±5.2,40.7±5.3,71.3±5.0,72.3±5.3
   TX-Bexar County,92.2±4.7,80.1±6.3,89.8±5.1,87.6±5.6,89.7±5.2,91.5±4.9,56.9±7.9,91.0±4.8,58.3±7.5,89.1±5.2,90.2±5.2,76.3±7.4,51.2±8.0,49.9±8.0,76.9±6.7,70.6±7.0,71.4±7.0,46.0±7.5,63.3±7.9,64.0±7.8,40.1±7.6,65.4±7.8,71.8±6.8
   TX-City of Houston,90.7±4.6,78.9±6.2,87.3±5.5,86.9±4.9,83.9±5.5,86.1±5.3,56.2±8.2,89.2±4.8,62.3±7.9,87.9±4.9,87.7±5.0,75.7±6.8,57.3±7.9,46.6±8.4,76.2±6.6,70.2±7.5,71.2±7.5,47.1±8.3,65.5±7.8,66.4±7.8,44.8±8.3,67.9±7.4,66.5±6.9
   TX-Dallas County,90.2±5.3,78.9±7.4,90.1±5.3,84.9±6.1,90.0±5.2,92.1±4.0,49.3±8.2,89.0±4.7,70.5±7.0,87.7±5.5,88.8±5.6,78.0±7.1,46.4±8.2,47.4±8.1,78.7±7.4,73.5±7.6,73.6±7.6,42.3±7.8,69.6±7.8,69.7±7.8,39.1±7.7,69.7±7.8,69.0±6.5
   TX-El Paso County,93.3±3.1,77.1±5.4,91.2±3.4,87.1±4.4,89.7±3.7,90.2±3.6,41.5±6.2,92.6±3.1,71.5±5.8,88.3±4.2,91.3±3.5,72.7±5.7,56.6±6.2,56.5±6.3,74.9±5.5,70.5±5.8,71.0±5.7,36.3±6.0,62.2±6.1,62.7±6.1,32.5±5.9,63.9±6.1,67.3±5.9
   TX-Rest of State,96.4±2.5,83.7±6.1,93.8±3.4,89.5±4.6,89.5±5.0,92.7±4.5,47.1±8.0,93.4±3.3,72.1±7.0,92.7±3.9,95.6±2.8,83.1±6.0,56.5±8.1,44.5±7.9,81.9±6.3,75.1±7.1,76.8±7.0,42.9±7.8,68.3±7.7,70.0±7.6,40.7±7.8,73.3±7.2,74.3±7.8
Utah,92.4±4.2,85.5±5.1,90.1±4.6,91.3±4.1,83.4±5.2,90.9±4.4,51.9±7.3,91.3±4.2,77.8±6.1,85.7±5.7,90.8±4.5,79.2±5.9,51.3±7.2,43.6±7.4,83.9±5.4,70.3±6.7,75.8±6.5,45.5±7.3,63.2±7.1,68.7±6.9,41.2±7.2,69.3±6.9,66.4±8.2
Vermont,96.1±2.3,83.2±4.4,92.7±3.2,91.9±3.2,91.4±4.2,91.4±4.2,37.9±6.0,91.5±3.6,22.8±5.1,82.7±4.7,91.4±3.8,80.9±5.0,43.4±6.2,34.5±5.8,78.6±4.9,65.1±6.1,65.1±6.1,25.3±5.3,58.4±6.2,58.4±6.2,23.0±5.1,59.9±6.1,62.1±6.9
Virginia,92.2±4.6,79.2±7.5,89.2±4.9,85.8±6.8,81.1±7.4,90.3±4.9,47.2±8.0,92.5±4.2,60.8±7.9,86.7±7.0,90.6±4.7,76.4±7.9,37.8±7.5,53.1±8.1,77.6±7.5,69.6±7.8,75.0±7.5,43.8±8.0,63.2±8.1,68.3±8.0,40.0±7.7,68.6±8.0,68.3±8.6
Washington,95.4±2.2,82.2±4.3,92.9±2.7,90.8±3.0,92.7±2.8,93.6±2.5,47.9±5.9,88.6±3.6,70.1±5.4,85.4±4.2,92.6±3.0,82.2±4.1,52.3±5.9,20.9±4.7,79.7±4.5,70.3±5.4,70.3±5.4,38.1±5.7,64.8±5.7,64.8±5.7,35.6±5.7,64.9±5.7,67.7±6.2
   WA-Eastern/Western WA,92.1±3.7,75.0±5.8,89.7±4.2,87.8±4.4,89.5±4.1,90.5±3.9,47.2±6.5,88.2±4.3,88.2+4.3,81.7±5.2,87.8±4.5,72.9±6.0,41.1±6.4,25.5±5.5,73.1±5.9,66.9±6.2,66.9±6.2,38.1±6.3,60.9±6.5,60.9±6.5,34.2±6.2,61.4±6.5,NA
   WA-Rest of State,96.9±2.7,85.4±5.6,94.3±3.5,92.1±3.8,94.0±3.6,94.9±3.2,48.2±8.0,88.8±4.8,68.8±7.3,87.1±5.5,94.7±3.8,86.2±5.2,57.1±7.8,18.9±6.3,82.5±5.9,71.8±7.3,71.8±7.3,38.1±7.7,66.4±7.6,66.4±7.6,36.2±7.6,66.4±7.6,NA
