,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,3+HepB**,1+Var††,3+PCV‡‡,4+PCV§§,4:3:1:3¶¶,4:3:1:3:3***,4:3:1:3:3:1†††,4:3:1:3:3:1:3€,4:3:1:3:3:1:4€€
   IN-Rest of State,80.2±5.2,91.9±3.4,91.0±3.9,90.8±3.9,94.0±2.9,88.8±4.2,87.1±4.6,69.4±6.1,78.2±5.2,77.5±5.3,74.5±5.4,70.4±5.8,61.5±6.3
Iowa,83.0±5.9,93.5±3.7,93.0±3.8,92.5±3.8,92.7±4.1,88.2±4.6,89.7±4.2,72.3±6.6,80.6±6.0,80.0±6.0,75.9±6.3,71.9±6.5,64.2±6.9
Kansas,87.0±4.9,95.7±2.7,93.1±3.5,93.6±3.5,95.0±2.9,88.7±4.1,87.9±4.5,75.0±6.2,83.3±5.4,81.7±5.6,76.0±6.0,71.0±6.4,64.8±6.8
Kentucky,85.2±5.8,92.5±4.2,90.8±4.6,91.6±4.3,94.0±3.8,87.9±5.1,84.7±5.3,69.7±6.5,81.4±6.1,80.9±6.1,78.2±6.2,72.0±6.5,63.3±6.7
Louisiana,80.1±5.9,94.0±3.1,92.9±3.4,91.9±3.7,94.2±2.9,91.5±3.7,90.8±3.9,76.0±6.0,78.4±6.0,77.7±6.1,77.0±6.1,74.9±6.3,66.9±6.9
Maine,86.7±5.4,91.2±4.5,90.2±4.8,94.1±4.0,88.3±5.1,85.5±5.3,91.9±4.3,82.5±5.6,82.0±6.0,77.6±6.5,72.9±6.9,71.5±6.9,67.0±7.2
Maryland,94.8±2.4,97.3±1.9,97.1±2.0,98.3±1.5,96.6±1.9,96.8±1.9,94.0±3.6,84.4±5.9,93.7±2.7,92.4±2.9,91.3±3.1,88.0±4.3,79.9±6.2
Massachusetts,90.0±5.0,92.8±5.0,93.3±4.6,97.2±2.2,96.1±2.7,87.4±5.6,94.9±2.9,85.1±6.3,84.7±6.5,83.9±6.6,77.9±7.3,77.2±7.3,76.0±7.4
Michigan,84.3±6.1,87.8±5.8,89.5±5.3,87.7±6.0,89.9±5.3,89.5±5.3,86.0±5.9,71.1±7.4,81.3±6.5,80.6±6.6,78.8±6.7,76.3±6.8,66.9±7.5
Minnesota,88.9±4.7,94.8±3.2,94.9±2.8,93.7±3.2,93.4±3.4,89.1±4.7,95.7±2.8,82.1±6.2,86.3±5.1,84.7±5.4,80.5±6.1,79.5±6.2,72.8±6.9
Mississippi,81.0±6.8,90.9±5.1,87.2±5.8,86.6±6.0,94.2±4.6,88.4±5.6,85.6±6.0,65.8±7.8,78.7±7.0,78.7±7.0,77.1±7.0,73.1±7.2,61.2±7.9
Missouri,80.6±6.5,94.5±3.5,89.0±5.2,94.6±3.6,91.8±4.6,89.4±5.0,87.3±5.3,73.7±7.0,80.1±6.5,77.2±6.8,76.1±6.9,73.2±7.1,64.7±7.5
Montana,79.1±5.8,90.2±4.5,89.6±4.0,90.5±4.4,92.4±3.8,78.5±5.8,89.9±4.5,70.7±6.7,77.3±5.9,75.0±6.2,65.3±6.9,64.5±6.9,58.0±7.0
Nebraska,87.8±5.3,95.9±3.0,94.0±3.7,96.0±3.1,96.9±2.9,93.8±3.8,90.7±4.8,80.5±6.5,85.2±5.6,85.2±5.6,82.9±6.0,77.2±6.8,74.4±7.1
Nevada,71.4±7.3,84.8±6.0,86.3±4.9,84.0±6.0,84.4±5.5,83.3±5.5,77.0±6.7,61.7±7.5,68.9±7.4,66.7±7.5,63.1±7.6,57.2±7.6,50.7±7.5
New Hampshire,94.4±3.5,97.6±2.2,96.6±2.6,97.2±2.5,98.6±1.5,95.2±3.1,96.3±2.8,87.3±5.3,93.2±3.8,93.2±3.8,90.6±4.3,89.1±4.6,80.5±6.2
New Jersey,85.3±5.9,92.6±4.4,91.2±5.5,93.5±4.1,92.4±4.4,92.5±4.8,85.2±6.4,69.3±7.8,82.8±6.2,82.3±6.2,80.5±6.4,75.2±7.2,62.3±7.9
New Mexico,81.6±7.0,89.7±5.4,90.6±3.6,87.5±6.4,90.8±5.1,88.8±3.9,88.0±5.9,72.0±7.6,79.8±7.1,78.9±7.1,76.0±7.2,73.8±7.4,65.4±7.7
New York,88.9±2.9,93.6±2.4,93.6±2.1,92.5±2.7,93.5±2.3,88.4±3.2,89.2±3.1,75.1±4.5,84.8±3.3,83.0±3.5,77.8±4.1,74.8±4.3,65.2±4.9
   NY-City of New York,84.7±4.5,91.1±3.6,91.9±3.2,90.7±3.6,90.8±3.7,89.0±3.9,86.6±4.1,73.4±5.4,79.9±4.9,78.5±5.1,76.3±5.3,72.0±5.6,64.4±6.0
   NY-Rest of State,92.8±3.8,95.9±3.2,95.2±2.6,94.1±3.9,96.1±2.6,87.8±5.1,91.8±4.6,76.7±7.2,89.4±4.5,87.2±4.8,79.1±6.3,77.5±6.4,65.9±7.6
North Carolina,85.8±5.0,93.2±3.3,96.9±2.0,93.6±3.4,91.7±4.5,93.3±4.1,91.3±4.1,81.7±5.6,84.0±5.1,80.0±6.0,77.3±6.5,74.8±6.7,70.1±7.0
North Dakota,85.5±4.9,97.8±1.7,95.2±2.9,95.5±2.7,97.8±1.8,91.5±3.8,95.1±2.6,81.4±5.5,82.5±5.2,81.7±5.3,77.2±5.7,75.0±5.9,68.9±6.3
Ohio,86.6±4.9,93.6±3.3,90.7±3.7,93.8±3.7,95.3±2.8,89.1±4.1,85.9±4.3,74.7±6.0,81.9±5.4,80.4±5.5,77.7±5.8,70.7±6.2,64.5±6.5
Oklahoma,82.7±6.0,92.3±3.8,89.9±5.0,88.1±5.7,92.0±4.0,89.7±5.0,80.1±6.5,58.3±7.8,80.3±6.2,80.1±6.2,78.5±6.3,69.6±7.2,53.3±7.7
Oregon,77.8±7.3,87.7±6.1,88.9±5.3,87.7±5.8,87.0±6.0,84.2±6.3,85.4±6.1,70.1±7.5,74.1±7.4,72.4±7.5,70.5±7.6,68.9±7.6,62.7±7.8
Pennsylvania,86.4±3.6,93.7±2.5,93.8±2.5,94.9±2.3,92.5±2.9,91.9±2.8,92.3±2.7,79.1±4.4,83.7±3.9,81.4±4.1,78.8±4.3,76.1±4.4,68.3±4.9
   PA-Philadelphia County,88.3±5.4,94.2±4.0,92.2±4.5,92.5±4.4,95.0±3.3,91.8±4.4,90.3±5.2,81.2±6.5,85.0±6.0,84.5±6.0,82.2±6.2,78.4±6.8,73.0±7.3
   PA-Rest of State,86.0±4.2,93.6±2.9,94.1±2.8,95.3±2.6,92.1±3.3,92.0±3.2,92.7±3.0,78.8±5.1,83.4±4.4,80.9±4.7,78.2±4.9,75.7±5.1,67.5±5.7
Rhode Island,84.9±6.1,98.0±2.4,94.7±3.9,96.4±3.0,97.7±2.9,92.1±4.1,94.8±3.5,90.7±4.4,81.2±6.4,80.0±6.6,75.0±7.0,73.0±7.2,69.2±7.4
South Carolina,84.2±4.5,91.1±3.6,92.5±3.2,91.8±3.5,92.1±3.7,91.5±3.3,92.1±3.4,80.8±4.8,82.4±4.6,81.1±4.9,79.5±5.0,77.5±5.1,74.9±5.3
South Dakota,88.7±4.5,97.7±1.8,95.0±2.4,96.9±2.5,97.4±1.9,85.3±5.2,69.1±6.9,54.3±7.4,87.4±4.6,87.1±4.6,76.9±6.1,55.1±7.4,45.8±7.4
Tennessee,84.8±6.0,94.4±4.3,94.5±4.3,94.5±4.0,94.4±3.9,92.3±4.7,91.5±4.6,72.6±7.5,82.5±6.3,80.5±6.5,78.7±6.7,75.9±6.8,64.3±7.7
Texas,82.1±3.5,92.6±2.3,90.4±2.6,93.8±2.3,91.7±2.6,90.0±2.6,90.6±2.5,75.7±4.0,80.2±3.7,78.2±3.8,77.3±3.8,75.0±4.0,68.5±4.4
   TX-Bexar County,85.5±4.8,94.3±3.2,90.9±3.9,94.7±3.0,93.7±3.4,88.8±4.3,92.8±3.5,79.1±5.5,83.8±4.9,82.7±5.1,80.1±5.3,78.4±5.5,74.0±5.8
   TX-City of Houston,77.9±5.6,87.4±4.7,89.4±3.8,91.4±3.4,88.6±4.4,89.6±3.8,88.8±4.0,71.6±5.9,75.4±5.6,73.9±5.7,73.0±5.7,71.2±5.8,64.1±6.2
   TX-Dallas County,77.0±6.0,91.0±3.8,89.9±4.1,93.0±3.3,90.8±3.8,90.0±4.1,86.1±4.7,70.8±6.3,75.1±6.1,73.3±6.2,71.9±6.2,67.8±6.5,61.0±6.8
   TX-El Paso County,81.8±5.7,91.2±4.7,90.3±4.8,93.6±4.2,92.9±4.3,91.1±4.7,88.7±5.2,69.3±6.9,79.0±6.0,77.8±6.2,77.4±6.2,72.7±6.6,63.1±7.1
   TX-Rest of State,83.4±5.1,93.7±3.3,90.6±3.8,94.3±3.3,92.2±3.8,90.2±3.8,91.6±3.6,77.4±5.8,81.7±5.3,79.5±5.5,78.7±5.6,76.7±5.8,70.4±6.4
Utah,82.2±5.3,91.8±3.9,90.9±4.0,92.7±3.8,88.6±4.8,86.6±4.8,87.8±4.5,70.7±6.4,80.6±5.4,78.5±5.6,73.6±6.1,69.7±6.3,61.4±6.8
Vermont,81.9±7.5,95.1±5.0,93.6±5.2,96.4±3.2,93.7±5.1,77.6±7.8,92.7±4.7,84.2±7.0,80.8±7.5,79.8±7.6,67.3±8.3,65.4±8.5,62.7±8.5
Virginia,84.1±4.8,92.8±3.3,90.9±3.8,93.2±3.4,91.5±3.5,87.8±4.5,93.0±3.2,79.1±5.1,82.0±5.0,79.6±5.3,75.5±5.7,74.2±5.8,67.9±6.1
Washington,80.9±5.4,85.1±5.1,90.5±3.9,90.1±4.0,85.0±4.7,84.0±4.9,87.1±4.9,73.8±6.0,77.8±5.7,73.9±5.8,69.0±6.1,67.7±6.2,64.6±6.2
   WA-Western WA,88.1±4.8,91.1±3.8,91.9±3.9,93.7±3.4,88.2±4.6,80.8±5.9,91.0±4.0,82.3±5.8,85.2±5.0,80.5±5.6,71.3±6.7,69.1±6.8,66.8±7.0
   WA-Rest of State,79.3±6.4,83.8±6.2,90.2±4.6,89.3±4.8,84.3±5.6,84.8±5.8,86.3±5.9,71.9±7.2,76.2±6.8,72.5±7.0,68.4±7.3,67.3±7.4,64.1±7.4
West Virginia,84.5±4.9,93.8±3.2,96.2±2.1,95.6±2.7,94.6±2.7,89.2±3.8,89.4±4.0,75.8±5.7,82.4±5.1,80.7±5.2,75.5±5.6,71.7±5.9,64.9±6.2
Wisconsin,82.0±6.1,93.8±3.5,91.4±4.6,89.6±5.0,94.5±3.0,86.7±5.4,92.8±3.7,78.7±6.5,80.2±6.4,79.4±6.4,77.1±6.6,76.5±6.6,69.6±7.2
Wyoming,78.7±6.1,90.8±4.8,87.5±5.2,85.8±5.6,90.6±5.0,78.5±6.3,83.0±5.8,68.0±6.7,77.2±6.3,76.8±6.3,70.2±6.8,65.8±6.9,58.7±7.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
